date hour leadtime latitude longitude obs p0.2
20170204 18 0 59.9047 10.7864 0.0 0.87333333
20170205 6 0 59.9047 10.7864 0.0 0.91333333
20170205 18 0 59.9047 10.7864 0.0 0.91333333
20170206 6 0 59.9047 10.7864 0.0 0.91333333
20170207 0 0 59.9047 10.7864 0.0 0.85333333
20170207 12 0 59.9047 10.7864 0.0 0.92
20170208 0 0 59.9047 10.7864 0.0 0.97333333
20170208 12 0 59.9047 10.7864 0.0 0.98
20170209 0 0 59.9047 10.7864 0.0 0.95333333
20170209 12 0 59.9047 10.7864 0.0 0.99317829
20170210 0 0 59.9047 10.7864 0.1 0.5
20170210 12 0 59.9047 10.7864 0.0 0.90666667
20170211 0 0 59.9047 10.7864 0.0 0.92
20170211 12 0 59.9047 10.7864 0.0 0.94
20170212 0 0 59.9047 10.7864 0.0 0.96666667
20170212 12 0 59.9047 10.7864 0.0 1.0
20170213 0 0 59.9047 10.7864 0.0 1.0
20170213 18 0 59.9047 10.7864 0.0 1.0
20170214 6 0 59.9047 10.7864 0.0 0.98666667
20170214 18 0 59.9047 10.7864 0.0 0.98666667
20170215 6 0 59.9047 10.7864 0.0 0.99333333
20170215 18 0 59.9047 10.7864 0.0 0.98
20170216 6 0 59.9047 10.7864 0.0 0.86
20170216 18 0 59.9047 10.7864 0.0 0.99925926
20170217 6 0 59.9047 10.7864 0.0 0.98666667
20170217 18 0 59.9047 10.7864 0.0 0.98666667
20170218 6 0 59.9047 10.7864 0.0 0.97333333
20170218 18 0 59.9047 10.7864 0.3 0.33333333
20170219 6 0 59.9047 10.7864 0.0 0.99964912
20170219 18 0 59.9047 10.7864 0.0 0.94666667
20170220 6 0 59.9047 10.7864 0.0 0.98
20170220 18 0 59.9047 10.7864 0.0 0.98666667
20170221 6 0 59.9047 10.7864 0.0 0.98666667
20170221 18 0 59.9047 10.7864 0.0 0.98666667
20170222 6 0 59.9047 10.7864 3.0 0.44666667
20170222 18 0 59.9047 10.7864 0.0 0.98666667
20170223 6 0 59.9047 10.7864 0.0 0.98666667
20170223 18 0 59.9047 10.7864 0.0 0.99333333
20170224 6 0 59.9047 10.7864 0.0 0.99333333
20170224 18 0 59.9047 10.7864 0.0 1.0
20170225 6 0 59.9047 10.7864 0.0 0.99986395
20170225 18 0 59.9047 10.7864 0.9 0.2
20170226 6 0 59.9047 10.7864 0.0 0.98666667
20170226 18 0 59.9047 10.7864 0.0 0.90444444
20170227 6 0 59.9047 10.7864 0.9 0.40666667
20170227 18 0 59.9047 10.7864 0.0 0.9
20170228 6 0 59.9047 10.7864 0.9 0.053333333
20170228 18 0 59.9047 10.7864 0.2 0.48666667
20170409 18 0 59.9047 10.7864 0.0 1.0
20170410 6 0 59.9047 10.7864 0.6 0.41333333
20170410 18 0 59.9047 10.7864 0.0 1.0
20170411 6 0 59.9047 10.7864 0.0 0.98666667
20170411 18 0 59.9047 10.7864 0.0 0.99333333
20170412 6 0 59.9047 10.7864 0.0 0.96
20170412 18 0 59.9047 10.7864 0.0 0.32666667
20170413 6 0 59.9047 10.7864 1.4 0.26669826
20170413 18 0 59.9047 10.7864 2.2 0.12
20170414 6 0 59.9047 10.7864 0.0 0.94666667
20170415 0 0 59.9047 10.7864 0.0 0.99333333
20170415 12 0 59.9047 10.7864 0.0 0.99333333
20170416 0 0 59.9047 10.7864 0.0 0.973
20170416 12 0 59.9047 10.7864 0.0 0.52666667
20170417 0 0 59.9047 10.7864 0.0 0.56
20170417 12 0 59.9047 10.7864 0.0 0.95333333
20170418 12 0 59.9047 10.7864 0.0 0.80666667
20170419 0 0 59.9047 10.7864 0.0 1.0
20170419 12 0 59.9047 10.7864 0.0 0.98
20170420 0 0 59.9047 10.7864 0.0 0.98
20170420 12 0 59.9047 10.7864 0.0 0.97969697
20170421 0 0 59.9047 10.7864 0.0 1.0
20170421 12 0 59.9047 10.7864 0.0 0.95333333
20170422 0 0 59.9047 10.7864 0.0 0.98
20170422 12 0 59.9047 10.7864 0.0 0.98666667
20170423 0 0 59.9047 10.7864 0.0 1.0
20170423 12 0 59.9047 10.7864 0.0 0.97333333
20170424 0 0 59.9047 10.7864 0.0 0.70666667
20170424 18 0 59.9047 10.7864 0.1 0.1
20170425 6 0 59.9047 10.7864 0.0 0.6
20170425 18 0 59.9047 10.7864 0.0 1.0
20170426 6 0 59.9047 10.7864 0.0 0.99333333
20170427 0 0 59.9047 10.7864 0.0 0.99333333
20170427 12 0 59.9047 10.7864 0.0 0.92
20170428 0 0 59.9047 10.7864 0.0 0.98
20170428 12 0 59.9047 10.7864 0.0 0.83333333
20170429 0 0 59.9047 10.7864 0.0 0.88
20170429 12 0 59.9047 10.7864 0.0 1.0
20170430 0 0 59.9047 10.7864 0.0 0.98666667
20170430 12 0 59.9047 10.7864 0.0 0.99333333
20170501 0 0 59.9047 10.7864 0.0 0.98666667
20170503 18 0 59.9047 10.7864 0.0 0.99333333
20170504 6 0 59.9047 10.7864 0.0 1.0
20170504 18 0 59.9047 10.7864 0.0 0.99333333
20170505 6 0 59.9047 10.7864 0.0 0.99333333
20170505 18 0 59.9047 10.7864 0.0 0.96666667
20170506 6 0 59.9047 10.7864 0.0 0.98666667
20170506 18 0 59.9047 10.7864 0.0 0.94
20170507 6 0 59.9047 10.7864 1.4 0.38666667
20170507 18 0 59.9047 10.7864 0.0 1.0
20170508 6 0 59.9047 10.7864 0.0 0.92666667
20170508 18 0 59.9047 10.7864 0.0 1.0
20170509 6 0 59.9047 10.7864 0.0 0.96666667
20170509 18 0 59.9047 10.7864 0.0 0.38727273
20170510 6 0 59.9047 10.7864 0.3 0.14669826
20170510 18 0 59.9047 10.7864 0.8 0.0066666667
20170511 6 0 59.9047 10.7864 0.4 0.37333333
20170511 18 0 59.9047 10.7864 0.0 1.0
20170512 6 0 59.9047 10.7864 0.0 0.98
20170512 18 0 59.9047 10.7864 0.0 0.99333333
20170513 6 0 59.9047 10.7864 0.0 0.96
20170513 18 0 59.9047 10.7864 0.0 0.98666667
20170514 6 0 59.9047 10.7864 0.1 0.053333333
20170514 18 0 59.9047 10.7864 0.0 0.65333333
20170515 6 0 59.9047 10.7864 0.0 0.92
20170515 18 0 59.9047 10.7864 0.0 0.98
20170516 6 0 59.9047 10.7864 0.0 0.69333333
20170516 18 0 59.9047 10.7864 1.6 0.097777778
20170517 6 0 59.9047 10.7864 2.5 0.37111111
20170517 18 0 59.9047 10.7864 0.0 0.90666667
20170518 6 0 59.9047 10.7864 0.8 0.16666667
20170518 18 0 59.9047 10.7864 0.3 0.49333333
20170519 6 0 59.9047 10.7864 0.0 0.98666667
20170519 18 0 59.9047 10.7864 0.0 0.97333333
20170520 6 0 59.9047 10.7864 0.0 0.92666667
20170520 18 0 59.9047 10.7864 0.0 0.93333333
20170521 6 0 59.9047 10.7864 0.0 0.93333333
20170521 18 0 59.9047 10.7864 0.0 0.99333333
20170522 6 0 59.9047 10.7864 0.0 0.97333333
20170522 18 0 59.9047 10.7864 0.0 0.96
20170523 6 0 59.9047 10.7864 0.0 0.96666667
20170523 18 0 59.9047 10.7864 0.0 1.0
20170524 6 0 59.9047 10.7864 0.0 0.98666667
20170524 18 0 59.9047 10.7864 0.0 1.0
20170525 6 0 59.9047 10.7864 0.0 0.97333333
20170525 18 0 59.9047 10.7864 0.0 1.0
20170526 6 0 59.9047 10.7864 0.0 0.98666667
20170526 18 0 59.9047 10.7864 0.0 1.0
20170527 6 0 59.9047 10.7864 0.0 0.99333333
20170527 18 0 59.9047 10.7864 0.0 1.0
20170528 6 0 59.9047 10.7864 0.0 0.95333333
20170528 18 0 59.9047 10.7864 0.0 0.78444444
20170529 6 0 59.9047 10.7864 0.0 0.98666667
20170529 18 0 59.9047 10.7864 0.0 0.72
20170530 6 0 59.9047 10.7864 0.4 0.71333333
20170530 18 0 59.9047 10.7864 0.0 0.98666667
20170531 6 0 59.9047 10.7864 0.0 0.97333333
20170531 18 0 59.9047 10.7864 0.0 1.0
20170601 6 0 59.9047 10.7864 0.0 0.97333333
20170601 18 0 59.9047 10.7864 0.0 0.98666667
20170602 6 0 59.9047 10.7864 0.0 0.83333333
20170602 18 0 59.9047 10.7864 0.0 0.69333333
20170603 6 0 59.9047 10.7864 0.0 0.96666667
20170603 18 0 59.9047 10.7864 0.0 0.98
20170604 6 0 59.9047 10.7864 0.0 0.90615385
20170604 18 0 59.9047 10.7864 0.2 0.58
20170605 6 0 59.9047 10.7864 0.0 0.98
20170605 18 0 59.9047 10.7864 0.0 0.98
20170606 6 0 59.9047 10.7864 0.2 0.60666667
20170606 18 0 59.9047 10.7864 0.2 0.66
20170607 6 0 59.9047 10.7864 0.0 0.87333333
20170607 18 0 59.9047 10.7864 0.0 0.48666667
20170608 12 0 59.9047 10.7864 0.0 0.24
20170609 0 0 59.9047 10.7864 0.0 0.98
20170609 12 0 59.9047 10.7864 0.0 0.9
20170610 0 0 59.9047 10.7864 8.7 0.08
20170610 12 0 59.9047 10.7864 0.0 0.86666667
20170611 0 0 59.9047 10.7864 0.0 1.0
20170611 12 0 59.9047 10.7864 0.0 0.56666667
20170612 0 0 59.9047 10.7864 0.0 1.0
20170612 12 0 59.9047 10.7864 0.0 0.89333333
20170613 0 0 59.9047 10.7864 0.0 1.0
20170613 12 0 59.9047 10.7864 0.0 0.94
20170614 0 0 59.9047 10.7864 0.0 0.99333333
20170614 12 0 59.9047 10.7864 0.0 0.73333333
20170615 0 0 59.9047 10.7864 0.0 1.0
20170615 12 0 59.9047 10.7864 0.0 0.99333333
20170616 0 0 59.9047 10.7864 0.0 0.96666667
20170616 12 0 59.9047 10.7864 0.1 0.37333333
20170617 0 0 59.9047 10.7864 0.0 0.99333333
20170617 12 0 59.9047 10.7864 0.0 0.98
20170618 0 0 59.9047 10.7864 0.0 1.0
20170618 12 0 59.9047 10.7864 0.0 0.96666667
20170619 6 0 59.9047 10.7864 0.0 0.99333333
20170619 18 0 59.9047 10.7864 3.7 0.44
20170620 6 0 59.9047 10.7864 0.0 0.99333333
20170621 0 0 59.9047 10.7864 0.0 1.0
20170623 12 0 59.9047 10.7864 0.0 0.54666667
20170624 0 0 59.9047 10.7864 0.0 0.99333333
20170624 12 0 59.9047 10.7864 0.0 0.98666667
20170625 0 0 59.9047 10.7864 0.0 0.98
20170625 12 0 59.9047 10.7864 0.0 0.78
20170626 0 0 59.9047 10.7864 0.0 0.93333333
20170626 12 0 59.9047 10.7864 0.0 0.7
20170627 0 0 59.9047 10.7864 0.0 0.99333333
20170627 12 0 59.9047 10.7864 0.0 1.0
20170628 0 0 59.9047 10.7864 0.0 0.99333333
20170628 12 0 59.9047 10.7864 0.0 0.98
20170629 0 0 59.9047 10.7864 0.0 0.98666667
20170629 12 0 59.9047 10.7864 0.0 0.98
20170630 0 0 59.9047 10.7864 0.0 1.0
20170630 12 0 59.9047 10.7864 0.0 0.99333333
20170701 0 0 59.9047 10.7864 0.0 1.0
20170701 12 0 59.9047 10.7864 0.0 0.99333333
20170702 0 0 59.9047 10.7864 0.0 0.97333333
20170702 12 0 59.9047 10.7864 0.0 0.895
20170703 0 0 59.9047 10.7864 0.0 0.98666667
20170703 12 0 59.9047 10.7864 0.0 0.95333333
20170704 0 0 59.9047 10.7864 0.0 1.0
20170704 12 0 59.9047 10.7864 0.0 0.94
20170705 12 0 59.9047 10.7864 0.0 0.98
20170706 0 0 59.9047 10.7864 0.0 1.0
20170706 12 0 59.9047 10.7864 0.0 0.97333333
20170707 0 0 59.9047 10.7864 0.0 1.0
20170707 12 0 59.9047 10.7864 0.0 0.98666667
20170708 0 0 59.9047 10.7864 0.5 0.48740741
20170708 12 0 59.9047 10.7864 0.0 0.46666667
20170709 0 0 59.9047 10.7864 0.0 0.91992248
20170709 18 0 59.9047 10.7864 0.0 0.99333333
20170710 6 0 59.9047 10.7864 0.0 0.92
20170710 18 0 59.9047 10.7864 0.0 0.61333333
20170711 6 0 59.9047 10.7864 0.4 0.55333333
20170711 18 0 59.9047 10.7864 0.0 0.80647059
20170712 6 0 59.9047 10.7864 0.0 0.98666667
20170712 18 0 59.9047 10.7864 0.0 0.49333333
20170713 6 0 59.9047 10.7864 0.0 1.0
20170713 18 0 59.9047 10.7864 0.0 0.98666667
20170714 6 0 59.9047 10.7864 0.0 0.99333333
20170714 18 0 59.9047 10.7864 0.0 0.98666667
20170715 6 0 59.9047 10.7864 0.0 1.0
20170715 18 0 59.9047 10.7864 0.0 0.98666667
20170716 6 0 59.9047 10.7864 2.9 0.16666667
20170716 18 0 59.9047 10.7864 0.0 0.99333333
20170717 6 0 59.9047 10.7864 0.0 0.98
20170717 18 0 59.9047 10.7864 0.0 0.99333333
20170718 6 0 59.9047 10.7864 0.0 0.97333333
20170718 18 0 59.9047 10.7864 0.0 0.93333333
20170719 6 0 59.9047 10.7864 0.0 0.99333333
20170719 18 0 59.9047 10.7864 0.0 0.99333333
20170720 6 0 59.9047 10.7864 0.0 0.97333333
20170720 18 0 59.9047 10.7864 0.0 0.98666667
