date hour leadtime latitude longitude obs p0.2
20170204 18 0 59.9047 10.7864 0.0 0.765
20170205 6 0 59.9047 10.7864 0.0 0.86
20170205 18 0 59.9047 10.7864 0.0 0.825
20170206 6 0 59.9047 10.7864 0.0 0.8283642
20170207 0 0 59.9047 10.7864 0.0 0.835
20170207 12 0 59.9047 10.7864 0.0 0.875
20170208 0 0 59.9047 10.7864 0.0 0.93
20170208 12 0 59.9047 10.7864 0.0 0.81
20170209 0 0 59.9047 10.7864 0.0 0.91999508
20170209 12 0 59.9047 10.7864 0.0 0.96
20170210 0 0 59.9047 10.7864 0.1 0.25
20170210 12 0 59.9047 10.7864 0.0 0.77
20170211 0 0 59.9047 10.7864 0.0 0.58
20170211 12 0 59.9047 10.7864 0.0 0.86
20170212 0 0 59.9047 10.7864 0.0 0.995
20170212 12 0 59.9047 10.7864 0.0 1.0
20170213 0 0 59.9047 10.7864 0.0 1.0
20170213 18 0 59.9047 10.7864 0.0 1.0
20170214 6 0 59.9047 10.7864 0.0 1.0
20170214 18 0 59.9047 10.7864 0.0 0.98416667
20170215 6 0 59.9047 10.7864 0.0 0.97
20170215 18 0 59.9047 10.7864 0.0 0.975
20170216 6 0 59.9047 10.7864 0.0 0.799
20170216 18 0 59.9047 10.7864 0.0 0.985
20170217 6 0 59.9047 10.7864 0.0 0.945
20170217 18 0 59.9047 10.7864 0.0 0.995
20170218 6 0 59.9047 10.7864 0.0 0.96
20170218 18 0 59.9047 10.7864 0.3 0.225
20170219 6 0 59.9047 10.7864 0.0 1.0
20170219 18 0 59.9047 10.7864 0.0 0.95
20170220 6 0 59.9047 10.7864 0.0 0.97999508
20170220 18 0 59.9047 10.7864 0.0 0.82
20170221 6 0 59.9047 10.7864 0.0 0.995
20170221 18 0 59.9047 10.7864 0.0 0.98
20170222 6 0 59.9047 10.7864 3.0 0.395
20170222 18 0 59.9047 10.7864 0.0 0.985
20170223 6 0 59.9047 10.7864 0.0 0.99498442
20170223 18 0 59.9047 10.7864 0.0 0.99
20170224 6 0 59.9047 10.7864 0.0 1.0
20170224 18 0 59.9047 10.7864 0.0 1.0
20170225 6 0 59.9047 10.7864 0.0 0.99499508
20170225 18 0 59.9047 10.7864 0.9 0.205
20170226 6 0 59.9047 10.7864 0.0 0.99499508
20170226 18 0 59.9047 10.7864 0.0 0.935
20170227 6 0 59.9047 10.7864 0.9 0.14000526
20170227 18 0 59.9047 10.7864 0.0 0.8
20170228 6 0 59.9047 10.7864 0.9 0.065
