date hour leadtime latitude longitude obs p0.2
20170204 18 0 59.9047 10.7864 0.0 0.85
20170205 6 0 59.9047 10.7864 0.0 0.915
20170205 18 0 59.9047 10.7864 0.0 0.915
20170206 6 0 59.9047 10.7864 0.0 0.85
20170207 0 0 59.9047 10.7864 0.0 0.785
20170207 12 0 59.9047 10.7864 0.0 0.93
20170208 0 0 59.9047 10.7864 0.0 0.96
20170208 12 0 59.9047 10.7864 0.0 0.95
20170209 0 0 59.9047 10.7864 0.0 0.945
20170209 12 0 59.9047 10.7864 0.0 0.995
20170210 0 0 59.9047 10.7864 0.1 0.37
20170210 12 0 59.9047 10.7864 0.0 0.87
20170211 0 0 59.9047 10.7864 0.0 0.855
20170211 12 0 59.9047 10.7864 0.0 0.92
20170212 0 0 59.9047 10.7864 0.0 0.99
20170212 12 0 59.9047 10.7864 0.0 0.995
20170213 0 0 59.9047 10.7864 0.0 1.0
20170213 18 0 59.9047 10.7864 0.0 0.995
20170214 6 0 59.9047 10.7864 0.0 1.0
20170214 18 0 59.9047 10.7864 0.0 1.0
20170215 6 0 59.9047 10.7864 0.0 0.985
20170215 18 0 59.9047 10.7864 0.0 0.975
20170216 6 0 59.9047 10.7864 0.0 0.885
20170216 18 0 59.9047 10.7864 0.0 0.98
20170217 6 0 59.9047 10.7864 0.0 0.98
20170217 18 0 59.9047 10.7864 0.0 1.0
20170218 6 0 59.9047 10.7864 0.0 0.965
20170218 18 0 59.9047 10.7864 0.3 0.23
20170219 6 0 59.9047 10.7864 0.0 1.0
20170219 18 0 59.9047 10.7864 0.0 0.935
20170220 6 0 59.9047 10.7864 0.0 0.955
20170220 18 0 59.9047 10.7864 0.0 0.97
20170221 6 0 59.9047 10.7864 0.0 0.98
20170221 18 0 59.9047 10.7864 0.0 0.96
20170222 6 0 59.9047 10.7864 3.0 0.3
20170222 18 0 59.9047 10.7864 0.0 0.98
20170223 6 0 59.9047 10.7864 0.0 0.975
20170223 18 0 59.9047 10.7864 0.0 0.995
20170224 6 0 59.9047 10.7864 0.0 1.0
20170224 18 0 59.9047 10.7864 0.0 1.0
20170225 6 0 59.9047 10.7864 0.0 0.975
20170225 18 0 59.9047 10.7864 0.9 0.115
20170226 6 0 59.9047 10.7864 0.0 1.0
20170226 18 0 59.9047 10.7864 0.0 0.92
20170227 6 0 59.9047 10.7864 0.9 0.255
20170227 18 0 59.9047 10.7864 0.0 0.92
20170228 6 0 59.9047 10.7864 0.9 0.055
20170228 18 0 59.9047 10.7864 0.2 0.495
20170409 18 0 59.9047 10.7864 0.0 0.96
20170410 6 0 59.9047 10.7864 0.6 0.35
20170410 18 0 59.9047 10.7864 0.0 0.99
20170411 6 0 59.9047 10.7864 0.0 0.99
20170411 18 0 59.9047 10.7864 0.0 1.0
