date hour leadtime latitude longitude obs p0.2
20170204 18 0 59.9047 10.7864 0.0 0.59842769
20170205 6 0 59.9047 10.7864 0.0 0.75604658
20170205 18 0 59.9047 10.7864 0.0 0.6534762
20170206 6 0 59.9047 10.7864 0.0 0.8664622
20170207 0 0 59.9047 10.7864 0.0 0.62015355
20170207 12 0 59.9047 10.7864 0.0 0.95911843
20170208 0 0 59.9047 10.7864 0.0 0.97051692
20170208 12 0 59.9047 10.7864 0.0 0.94977932
20170209 0 0 59.9047 10.7864 0.0 0.95832774
20170209 12 0 59.9047 10.7864 0.0 0.92560765
20170210 0 0 59.9047 10.7864 0.1 0.47005924
20170210 12 0 59.9047 10.7864 0.0 0.77623507
20170211 0 0 59.9047 10.7864 0.0 0.87044432
20170211 12 0 59.9047 10.7864 0.0 0.90666033
20170212 0 0 59.9047 10.7864 0.0 0.99877412
20170212 12 0 59.9047 10.7864 0.0 0.99625258
20170213 0 0 59.9047 10.7864 0.0 0.99916272
20170213 18 0 59.9047 10.7864 0.0 0.99924196
20170214 6 0 59.9047 10.7864 0.0 0.99916603
20170214 18 0 59.9047 10.7864 0.0 0.97300734
20170215 6 0 59.9047 10.7864 0.0 0.94620614
20170215 18 0 59.9047 10.7864 0.0 0.95842415
20170216 6 0 59.9047 10.7864 0.0 0.67872712
20170216 18 0 59.9047 10.7864 0.0 0.98980962
20170217 6 0 59.9047 10.7864 0.0 0.95486134
20170217 18 0 59.9047 10.7864 0.0 0.99853665
20170218 6 0 59.9047 10.7864 0.0 0.93292229
20170218 18 0 59.9047 10.7864 0.3 0.18311927
20170219 6 0 59.9047 10.7864 0.0 0.99972391
20170219 18 0 59.9047 10.7864 0.0 0.89427122
20170220 6 0 59.9047 10.7864 0.0 0.99437429
20170220 18 0 59.9047 10.7864 0.0 0.87670408
20170221 6 0 59.9047 10.7864 0.0 0.94655458
20170221 18 0 59.9047 10.7864 0.0 0.95028573
20170222 6 0 59.9047 10.7864 3.0 0.17189288
20170222 18 0 59.9047 10.7864 0.0 0.99970105
20170223 6 0 59.9047 10.7864 0.0 0.98539723
20170223 18 0 59.9047 10.7864 0.0 0.99927773
20170224 6 0 59.9047 10.7864 0.0 0.99609158
20170224 18 0 59.9047 10.7864 0.0 0.99931775
20170225 6 0 59.9047 10.7864 0.0 0.98585474
20170225 18 0 59.9047 10.7864 0.9 0.13127782
20170226 6 0 59.9047 10.7864 0.0 0.98940144
20170226 18 0 59.9047 10.7864 0.0 0.96692478
20170227 6 0 59.9047 10.7864 0.9 0.48091305
20170227 18 0 59.9047 10.7864 0.0 0.90201933
20170228 6 0 59.9047 10.7864 0.9 0.054404739
20170228 18 0 59.9047 10.7864 0.2 0.22598526
20170409 18 0 59.9047 10.7864 0.0 0.99806843
20170410 6 0 59.9047 10.7864 0.6 0.21620358
20170410 18 0 59.9047 10.7864 0.0 0.99987458
20170411 6 0 59.9047 10.7864 0.0 0.99972641
20170411 18 0 59.9047 10.7864 0.0 0.99823976
20170412 6 0 59.9047 10.7864 0.0 0.84342506
20170412 18 0 59.9047 10.7864 0.0 0.14338176
20170413 6 0 59.9047 10.7864 1.4 0.21789581
20170413 18 0 59.9047 10.7864 2.2 0.037271589
20170414 6 0 59.9047 10.7864 0.0 0.77088541
20170415 0 0 59.9047 10.7864 0.0 0.99823196
20170415 12 0 59.9047 10.7864 0.0 0.98494319
20170416 0 0 59.9047 10.7864 0.0 0.98114205
20170416 12 0 59.9047 10.7864 0.0 0.45630695
20170417 0 0 59.9047 10.7864 0.0 0.20946667
20170417 12 0 59.9047 10.7864 0.0 0.7965732
20170418 12 0 59.9047 10.7864 0.0 0.81356411
20170419 0 0 59.9047 10.7864 0.0 0.99903481
20170419 12 0 59.9047 10.7864 0.0 0.99554051
20170420 0 0 59.9047 10.7864 0.0 0.941118
20170420 12 0 59.9047 10.7864 0.0 0.99392593
20170421 0 0 59.9047 10.7864 0.0 0.96963792
20170421 12 0 59.9047 10.7864 0.0 0.96384391
20170422 0 0 59.9047 10.7864 0.0 0.99987749
20170422 12 0 59.9047 10.7864 0.0 0.96590223
20170423 0 0 59.9047 10.7864 0.0 0.99567822
20170423 12 0 59.9047 10.7864 0.0 0.97592977
20170424 0 0 59.9047 10.7864 0.0 0.61747118
20170424 18 0 59.9047 10.7864 0.1 0.042865352
20170425 6 0 59.9047 10.7864 0.0 0.47950851
20170425 18 0 59.9047 10.7864 0.0 0.92906183
20170426 6 0 59.9047 10.7864 0.0 0.9911748
20170427 0 0 59.9047 10.7864 0.0 0.98900254
20170427 12 0 59.9047 10.7864 0.0 0.81095018
20170428 0 0 59.9047 10.7864 0.0 0.97363079
20170428 12 0 59.9047 10.7864 0.0 0.64180363
20170429 0 0 59.9047 10.7864 0.0 0.88230275
20170429 12 0 59.9047 10.7864 0.0 0.97547645
20170430 0 0 59.9047 10.7864 0.0 0.98583788
20170430 12 0 59.9047 10.7864 0.0 0.96996766
20170501 0 0 59.9047 10.7864 0.0 0.99044587
20170503 18 0 59.9047 10.7864 0.0 0.99452102
20170504 6 0 59.9047 10.7864 0.0 0.99828056
20170504 18 0 59.9047 10.7864 0.0 0.99877141
20170505 6 0 59.9047 10.7864 0.0 0.99009868
20170505 18 0 59.9047 10.7864 0.0 0.9830122
20170506 6 0 59.9047 10.7864 0.0 0.99907353
20170506 18 0 59.9047 10.7864 0.0 0.90549359
20170507 6 0 59.9047 10.7864 1.4 0.33044418
20170507 18 0 59.9047 10.7864 0.0 0.99912787
20170508 6 0 59.9047 10.7864 0.0 0.98354277
20170508 18 0 59.9047 10.7864 0.0 0.97148268
20170509 6 0 59.9047 10.7864 0.0 0.90691511
20170509 18 0 59.9047 10.7864 0.0 0.20520246
20170510 6 0 59.9047 10.7864 0.3 0.095314672
20170510 18 0 59.9047 10.7864 0.8 0.036159472
20170511 6 0 59.9047 10.7864 0.4 0.26706653
20170511 18 0 59.9047 10.7864 0.0 0.92181624
20170512 6 0 59.9047 10.7864 0.0 0.93397323
20170512 18 0 59.9047 10.7864 0.0 0.95572387
20170513 6 0 59.9047 10.7864 0.0 0.9467257
20170513 18 0 59.9047 10.7864 0.0 0.99132588
20170514 6 0 59.9047 10.7864 0.1 0.048696022
20170514 18 0 59.9047 10.7864 0.0 0.65704212
20170515 6 0 59.9047 10.7864 0.0 0.92986428
20170515 18 0 59.9047 10.7864 0.0 0.87002345
20170516 6 0 59.9047 10.7864 0.0 0.65689996
20170516 18 0 59.9047 10.7864 1.6 0.14400782
20170517 6 0 59.9047 10.7864 2.5 0.52565319
20170517 18 0 59.9047 10.7864 0.0 0.98240645
20170518 6 0 59.9047 10.7864 0.8 0.17890887
20170518 18 0 59.9047 10.7864 0.3 0.47562846
20170519 6 0 59.9047 10.7864 0.0 0.96212671
20170519 18 0 59.9047 10.7864 0.0 0.94735308
20170520 6 0 59.9047 10.7864 0.0 0.88206736
20170520 18 0 59.9047 10.7864 0.0 0.83740111
20170521 6 0 59.9047 10.7864 0.0 0.98276539
20170521 18 0 59.9047 10.7864 0.0 0.99622339
20170522 6 0 59.9047 10.7864 0.0 0.98503488
20170522 18 0 59.9047 10.7864 0.0 0.96149503
20170523 6 0 59.9047 10.7864 0.0 0.99452274
20170523 18 0 59.9047 10.7864 0.0 0.95935521
20170524 6 0 59.9047 10.7864 0.0 0.99854962
20170524 18 0 59.9047 10.7864 0.0 0.98698525
20170525 6 0 59.9047 10.7864 0.0 0.99819729
20170525 18 0 59.9047 10.7864 0.0 0.99759623
20170526 6 0 59.9047 10.7864 0.0 0.98038898
20170526 18 0 59.9047 10.7864 0.0 0.97607228
20170527 6 0 59.9047 10.7864 0.0 0.99848075
20170527 18 0 59.9047 10.7864 0.0 0.9806716
20170528 6 0 59.9047 10.7864 0.0 0.96080667
20170528 18 0 59.9047 10.7864 0.0 0.84663009
20170529 6 0 59.9047 10.7864 0.0 0.98761423
20170529 18 0 59.9047 10.7864 0.0 0.73784523
20170530 6 0 59.9047 10.7864 0.4 0.48164315
20170530 18 0 59.9047 10.7864 0.0 0.90930597
20170531 6 0 59.9047 10.7864 0.0 0.96667298
20170531 18 0 59.9047 10.7864 0.0 0.98919061
20170601 6 0 59.9047 10.7864 0.0 0.99697879
20170601 18 0 59.9047 10.7864 0.0 0.95613046
20170602 6 0 59.9047 10.7864 0.0 0.62495905
20170602 18 0 59.9047 10.7864 0.0 0.65155174
20170603 6 0 59.9047 10.7864 0.0 0.89642105
20170603 18 0 59.9047 10.7864 0.0 0.93789205
20170604 6 0 59.9047 10.7864 0.0 0.81639245
20170604 18 0 59.9047 10.7864 0.2 0.6494256
20170605 6 0 59.9047 10.7864 0.0 0.98672908
20170605 18 0 59.9047 10.7864 0.0 0.9828669
20170606 6 0 59.9047 10.7864 0.2 0.51431276
20170606 18 0 59.9047 10.7864 0.2 0.68669643
20170607 6 0 59.9047 10.7864 0.0 0.72001572
20170607 18 0 59.9047 10.7864 0.0 0.36037149
20170608 12 0 59.9047 10.7864 0.0 0.19639858
20170609 0 0 59.9047 10.7864 0.0 0.96617442
20170609 12 0 59.9047 10.7864 0.0 0.7450221
20170610 0 0 59.9047 10.7864 8.7 0.077564023
20170610 12 0 59.9047 10.7864 0.0 0.60302208
20170611 0 0 59.9047 10.7864 0.0 0.90014378
20170611 12 0 59.9047 10.7864 0.0 0.70396743
20170612 0 0 59.9047 10.7864 0.0 0.97993131
20170612 12 0 59.9047 10.7864 0.0 0.811048
20170613 0 0 59.9047 10.7864 0.0 0.95967219
20170613 12 0 59.9047 10.7864 0.0 0.77956995
20170614 0 0 59.9047 10.7864 0.0 0.98860038
20170614 12 0 59.9047 10.7864 0.0 0.89785724
20170615 0 0 59.9047 10.7864 0.0 0.9893155
20170615 12 0 59.9047 10.7864 0.0 0.96805427
20170616 0 0 59.9047 10.7864 0.0 0.95085949
20170616 12 0 59.9047 10.7864 0.1 0.39706283
20170617 0 0 59.9047 10.7864 0.0 0.99446754
20170617 12 0 59.9047 10.7864 0.0 0.97167997
20170618 0 0 59.9047 10.7864 0.0 0.99129863
20170618 12 0 59.9047 10.7864 0.0 0.99764886
20170619 6 0 59.9047 10.7864 0.0 0.99432186
20170619 18 0 59.9047 10.7864 3.7 0.34146317
20170620 6 0 59.9047 10.7864 0.0 0.96677937
20170621 0 0 59.9047 10.7864 0.0 0.99297877
20170623 12 0 59.9047 10.7864 0.0 0.44333747
20170624 0 0 59.9047 10.7864 0.0 0.98175436
20170624 12 0 59.9047 10.7864 0.0 0.98857895
20170625 0 0 59.9047 10.7864 0.0 0.96961009
20170625 12 0 59.9047 10.7864 0.0 0.61407708
20170626 0 0 59.9047 10.7864 0.0 0.82573865
20170626 12 0 59.9047 10.7864 0.0 0.7274599
20170627 0 0 59.9047 10.7864 0.0 0.98281806
20170627 12 0 59.9047 10.7864 0.0 0.99602139
20170628 0 0 59.9047 10.7864 0.0 0.99631224
20170628 12 0 59.9047 10.7864 0.0 0.99267168
20170629 0 0 59.9047 10.7864 0.0 0.98486875
20170629 12 0 59.9047 10.7864 0.0 0.97525882
20170630 0 0 59.9047 10.7864 0.0 0.96232422
20170630 12 0 59.9047 10.7864 0.0 0.96836399
20170701 0 0 59.9047 10.7864 0.0 0.97980208
20170701 12 0 59.9047 10.7864 0.0 0.98783834
20170702 0 0 59.9047 10.7864 0.0 0.99689611
20170702 12 0 59.9047 10.7864 0.0 0.99647917
20170703 0 0 59.9047 10.7864 0.0 0.99091475
20170703 12 0 59.9047 10.7864 0.0 0.80318761
20170704 0 0 59.9047 10.7864 0.0 0.95755301
20170704 12 0 59.9047 10.7864 0.0 0.93092928
20170705 12 0 59.9047 10.7864 0.0 0.96557573
20170706 0 0 59.9047 10.7864 0.0 0.99734272
20170706 12 0 59.9047 10.7864 0.0 0.9936319
20170707 0 0 59.9047 10.7864 0.0 0.99356763
20170707 12 0 59.9047 10.7864 0.0 0.95158291
20170708 0 0 59.9047 10.7864 0.5 0.13073292
20170708 12 0 59.9047 10.7864 0.0 0.44795357
20170709 0 0 59.9047 10.7864 0.0 0.91724517
20170709 18 0 59.9047 10.7864 0.0 0.95161028
20170710 6 0 59.9047 10.7864 0.0 0.75729224
20170710 18 0 59.9047 10.7864 0.0 0.62626124
20170711 6 0 59.9047 10.7864 0.4 0.42458266
20170711 18 0 59.9047 10.7864 0.0 0.83821256
20170712 6 0 59.9047 10.7864 0.0 0.95007485
20170712 18 0 59.9047 10.7864 0.0 0.33019404
20170713 6 0 59.9047 10.7864 0.0 0.99440773
20170713 18 0 59.9047 10.7864 0.0 0.99957129
20170714 6 0 59.9047 10.7864 0.0 0.95602636
20170714 18 0 59.9047 10.7864 0.0 0.95185156
20170715 6 0 59.9047 10.7864 0.0 0.98806267
20170715 18 0 59.9047 10.7864 0.0 0.99634383
20170716 6 0 59.9047 10.7864 2.9 0.10941672
20170716 18 0 59.9047 10.7864 0.0 0.99935713
20170717 6 0 59.9047 10.7864 0.0 0.91906171
20170717 18 0 59.9047 10.7864 0.0 0.9983949
20170718 6 0 59.9047 10.7864 0.0 0.99859333
20170718 18 0 59.9047 10.7864 0.0 0.97649469
20170719 6 0 59.9047 10.7864 0.0 0.99511319
20170719 18 0 59.9047 10.7864 0.0 0.99616676
20170720 6 0 59.9047 10.7864 0.0 0.98483807
20170720 18 0 59.9047 10.7864 0.0 0.9895995
20170721 6 0 59.9047 10.7864 0.0 0.97299279
20170721 18 0 59.9047 10.7864 0.0 0.75237315
20170722 6 0 59.9047 10.7864 0.0 0.60137005
20170722 18 0 59.9047 10.7864 0.0 0.95517795
20170723 12 0 59.9047 10.7864 0.0 0.91469687
20170724 0 0 59.9047 10.7864 0.0 0.89775138
20170724 12 0 59.9047 10.7864 0.0 0.97975776
20170725 0 0 59.9047 10.7864 0.0 0.98876348
20170725 12 0 59.9047 10.7864 0.0 0.96864373
