date hour leadtime latitude longitude obs p0.2
20170204 18 0 59.9047 10.7864 0.0 0.6624359
20170205 6 0 59.9047 10.7864 0.0 0.74352974
20170205 18 0 59.9047 10.7864 0.0 0.71
20170206 6 0 59.9047 10.7864 0.0 0.93333333
20170207 0 0 59.9047 10.7864 0.0 0.92285714
20170207 12 0 59.9047 10.7864 0.0 0.97333333
20170208 0 0 59.9047 10.7864 0.0 0.95333333
20170208 12 0 59.9047 10.7864 0.0 0.93999289
20170209 0 0 59.9047 10.7864 0.0 0.98599289
20170209 12 0 59.9047 10.7864 0.0 0.97999289
20170210 0 0 59.9047 10.7864 0.1 0.70597222
20170210 12 0 59.9047 10.7864 0.0 0.86666667
20170211 0 0 59.9047 10.7864 0.0 0.91665079
20170211 12 0 59.9047 10.7864 0.0 0.91555556
20170212 0 0 59.9047 10.7864 0.0 0.9644324
20170212 12 0 59.9047 10.7864 0.0 1.0
20170213 0 0 59.9047 10.7864 0.0 0.99666667
20170213 18 0 59.9047 10.7864 0.0 1.0
20170214 6 0 59.9047 10.7864 0.0 0.99666667
20170214 18 0 59.9047 10.7864 0.0 0.97666667
20170215 6 0 59.9047 10.7864 0.0 0.94230769
20170215 18 0 59.9047 10.7864 0.0 0.93665041
20170216 6 0 59.9047 10.7864 0.0 0.69570692
20170216 18 0 59.9047 10.7864 0.0 0.88067818
20170217 6 0 59.9047 10.7864 0.0 0.98666667
20170217 18 0 59.9047 10.7864 0.0 0.99
20170218 6 0 59.9047 10.7864 0.0 0.96
20170218 18 0 59.9047 10.7864 0.3 0.86032849
20170219 6 0 59.9047 10.7864 0.0 0.98998907
20170219 18 0 59.9047 10.7864 0.0 0.92456194
20170220 6 0 59.9047 10.7864 0.0 0.92953204
20170220 18 0 59.9047 10.7864 0.0 0.91989683
20170221 6 0 59.9047 10.7864 0.0 0.95666667
20170221 18 0 59.9047 10.7864 0.0 0.8388246
20170222 6 0 59.9047 10.7864 3.0 0.55907407
20170222 18 0 59.9047 10.7864 0.0 0.99
20170223 6 0 59.9047 10.7864 0.0 1.0
20170223 18 0 59.9047 10.7864 0.0 1.0
20170224 6 0 59.9047 10.7864 0.0 0.98943864
20170224 18 0 59.9047 10.7864 0.0 0.99999651
20170225 6 0 59.9047 10.7864 0.0 0.98
20170225 18 0 59.9047 10.7864 0.9 0.38247179
20170226 6 0 59.9047 10.7864 0.0 0.99
20170226 18 0 59.9047 10.7864 0.0 0.73604308
20170227 6 0 59.9047 10.7864 0.9 0.56164122
20170227 18 0 59.9047 10.7864 0.0 0.62933152
20170228 6 0 59.9047 10.7864 0.9 0.32735482
20170228 18 0 59.9047 10.7864 0.2 0.31803543
20170409 18 0 59.9047 10.7864 0.0 0.89041667
20170410 6 0 59.9047 10.7864 0.6 0.801104
20170410 18 0 59.9047 10.7864 0.0 0.99626354
20170411 6 0 59.9047 10.7864 0.0 0.96999289
20170411 18 0 59.9047 10.7864 0.0 0.98666667
20170412 6 0 59.9047 10.7864 0.0 0.90975309
20170412 18 0 59.9047 10.7864 0.0 0.88067857
20170413 6 0 59.9047 10.7864 1.4 0.40505419
20170413 18 0 59.9047 10.7864 2.2 0.39753623
20170414 6 0 59.9047 10.7864 0.0 0.93282051
20170415 0 0 59.9047 10.7864 0.0 0.98
20170415 12 0 59.9047 10.7864 0.0 0.98333333
20170416 0 0 59.9047 10.7864 0.0 0.9766613
20170416 12 0 59.9047 10.7864 0.0 0.69269988
20170417 0 0 59.9047 10.7864 0.0 0.78620098
20170417 12 0 59.9047 10.7864 0.0 0.95332797
20170418 12 0 59.9047 10.7864 0.0 0.95666667
20170419 0 0 59.9047 10.7864 0.0 0.98666538
20170419 12 0 59.9047 10.7864 0.0 0.99666318
20170420 0 0 59.9047 10.7864 0.0 0.99332797
20170420 12 0 59.9047 10.7864 0.0 0.94762618
20170421 0 0 59.9047 10.7864 0.0 0.99999523
20170421 12 0 59.9047 10.7864 0.0 0.95363889
20170422 0 0 59.9047 10.7864 0.0 0.99
20170422 12 0 59.9047 10.7864 0.0 0.99401515
20170423 0 0 59.9047 10.7864 0.0 0.98960784
20170423 12 0 59.9047 10.7864 0.0 0.99666667
20170424 0 0 59.9047 10.7864 0.0 0.32838402
20170424 18 0 59.9047 10.7864 0.1 0.18
20170425 6 0 59.9047 10.7864 0.0 0.86916667
20170425 18 0 59.9047 10.7864 0.0 0.99666538
20170426 6 0 59.9047 10.7864 0.0 0.98997656
20170427 0 0 59.9047 10.7864 0.0 0.97013889
20170427 12 0 59.9047 10.7864 0.0 0.9425
20170428 0 0 59.9047 10.7864 0.0 0.95347122
20170428 12 0 59.9047 10.7864 0.0 0.68462963
20170429 0 0 59.9047 10.7864 0.0 0.92111111
20170429 12 0 59.9047 10.7864 0.0 0.99333333
20170430 0 0 59.9047 10.7864 0.0 0.99627102
20170430 12 0 59.9047 10.7864 0.0 0.9996875
20170501 0 0 59.9047 10.7864 0.0 0.99322917
20170503 18 0 59.9047 10.7864 0.0 0.99611111
20170504 6 0 59.9047 10.7864 0.0 0.99332086
20170504 18 0 59.9047 10.7864 0.0 1.0
20170505 6 0 59.9047 10.7864 0.0 0.98333333
20170505 18 0 59.9047 10.7864 0.0 0.99
20170506 6 0 59.9047 10.7864 0.0 0.99666667
