date hour leadtime latitude longitude obs p0.2
20170204 18 0 59.9047 10.7864 0.0 0.88268895
20170205 6 0 59.9047 10.7864 0.0 0.94044699
20170205 18 0 59.9047 10.7864 0.0 0.954
20170206 6 0 59.9047 10.7864 0.0 0.9722
20170207 0 0 59.9047 10.7864 0.0 0.94491667
20170207 12 0 59.9047 10.7864 0.0 0.995
20170208 0 0 59.9047 10.7864 0.0 0.98975
20170208 12 0 59.9047 10.7864 0.0 0.98616667
20170209 0 0 59.9047 10.7864 0.0 0.985
20170209 12 0 59.9047 10.7864 0.0 0.98785714
20170210 0 0 59.9047 10.7864 0.1 0.62437151
20170210 12 0 59.9047 10.7864 0.0 0.92313793
20170211 0 0 59.9047 10.7864 0.0 0.9559319
20170211 12 0 59.9047 10.7864 0.0 0.97938462
20170212 0 0 59.9047 10.7864 0.0 0.982
20170212 12 0 59.9047 10.7864 0.0 0.995
20170213 0 0 59.9047 10.7864 0.0 0.999
20170213 18 0 59.9047 10.7864 0.0 0.9992
20170214 6 0 59.9047 10.7864 0.0 0.999
20170214 18 0 59.9047 10.7864 0.0 0.999
20170215 6 0 59.9047 10.7864 0.0 0.988
20170215 18 0 59.9047 10.7864 0.0 0.98172998
20170216 6 0 59.9047 10.7864 0.0 0.87456291
20170216 18 0 59.9047 10.7864 0.0 0.97363975
20170217 6 0 59.9047 10.7864 0.0 0.99494412
20170217 18 0 59.9047 10.7864 0.0 0.99458824
20170218 6 0 59.9047 10.7864 0.0 0.97494174
20170218 18 0 59.9047 10.7864 0.3 0.34363167
20170219 6 0 59.9047 10.7864 0.0 1.0
20170219 18 0 59.9047 10.7864 0.0 0.97303726
20170220 6 0 59.9047 10.7864 0.0 0.98652233
20170220 18 0 59.9047 10.7864 0.0 0.9620931
20170221 6 0 59.9047 10.7864 0.0 0.9828169
20170221 18 0 59.9047 10.7864 0.0 0.93960368
20170222 6 0 59.9047 10.7864 3.0 0.37734867
20170222 18 0 59.9047 10.7864 0.0 0.994
20170223 6 0 59.9047 10.7864 0.0 0.999
20170223 18 0 59.9047 10.7864 0.0 0.999
20170224 6 0 59.9047 10.7864 0.0 0.999
20170224 18 0 59.9047 10.7864 0.0 0.998
20170225 6 0 59.9047 10.7864 0.0 0.993
20170225 18 0 59.9047 10.7864 0.9 0.20372204
20170226 6 0 59.9047 10.7864 0.0 1.0
20170226 18 0 59.9047 10.7864 0.0 0.89429733
20170227 6 0 59.9047 10.7864 0.9 0.57648199
20170227 18 0 59.9047 10.7864 0.0 0.85642465
20170228 6 0 59.9047 10.7864 0.9 0.18492278
20170228 18 0 59.9047 10.7864 0.2 0.69338801
20170409 18 0 59.9047 10.7864 0.0 0.95917687
20170410 6 0 59.9047 10.7864 0.6 0.55482132
20170410 18 0 59.9047 10.7864 0.0 0.999
20170411 6 0 59.9047 10.7864 0.0 0.999
20170411 18 0 59.9047 10.7864 0.0 0.995
20170412 6 0 59.9047 10.7864 0.0 0.98926667
20170412 18 0 59.9047 10.7864 0.0 0.41328153
20170413 6 0 59.9047 10.7864 1.4 0.39413753
20170413 18 0 59.9047 10.7864 2.2 0.22411046
20170414 6 0 59.9047 10.7864 0.0 0.98264583
20170415 0 0 59.9047 10.7864 0.0 0.99371905
20170415 12 0 59.9047 10.7864 0.0 0.9984
20170416 0 0 59.9047 10.7864 0.0 0.995
20170416 12 0 59.9047 10.7864 0.0 0.69258975
20170417 0 0 59.9047 10.7864 0.0 0.52098932
20170417 12 0 59.9047 10.7864 0.0 0.94575283
20170418 12 0 59.9047 10.7864 0.0 0.80974224
20170419 0 0 59.9047 10.7864 0.0 0.998
20170419 12 0 59.9047 10.7864 0.0 0.997875
20170420 0 0 59.9047 10.7864 0.0 0.989
20170420 12 0 59.9047 10.7864 0.0 0.99575
20170421 0 0 59.9047 10.7864 0.0 1.0
20170421 12 0 59.9047 10.7864 0.0 0.983
20170422 0 0 59.9047 10.7864 0.0 0.99575
20170422 12 0 59.9047 10.7864 0.0 0.999
20170423 0 0 59.9047 10.7864 0.0 0.999
20170423 12 0 59.9047 10.7864 0.0 0.996
20170424 0 0 59.9047 10.7864 0.0 0.74452647
20170424 18 0 59.9047 10.7864 0.1 0.23426598
20170425 6 0 59.9047 10.7864 0.0 0.56102851
20170425 18 0 59.9047 10.7864 0.0 0.98830154
20170426 6 0 59.9047 10.7864 0.0 0.992
20170427 0 0 59.9047 10.7864 0.0 0.98089379
20170427 12 0 59.9047 10.7864 0.0 0.94446974
20170428 0 0 59.9047 10.7864 0.0 0.97667516
20170428 12 0 59.9047 10.7864 0.0 0.83428815
20170429 0 0 59.9047 10.7864 0.0 0.95798938
20170429 12 0 59.9047 10.7864 0.0 0.995
20170430 0 0 59.9047 10.7864 0.0 0.98094555
20170430 12 0 59.9047 10.7864 0.0 0.99766667
20170501 0 0 59.9047 10.7864 0.0 0.98077778
20170503 18 0 59.9047 10.7864 0.0 0.999
20170504 6 0 59.9047 10.7864 0.0 0.998
20170504 18 0 59.9047 10.7864 0.0 1.0
20170505 6 0 59.9047 10.7864 0.0 0.999
20170505 18 0 59.9047 10.7864 0.0 1.0
20170506 6 0 59.9047 10.7864 0.0 1.0
20170506 18 0 59.9047 10.7864 0.0 0.9447827
20170507 6 0 59.9047 10.7864 1.4 0.62121165
20170507 18 0 59.9047 10.7864 0.0 0.999
20170508 6 0 59.9047 10.7864 0.0 0.96039899
20170508 18 0 59.9047 10.7864 0.0 0.997936
20170509 6 0 59.9047 10.7864 0.0 0.98010731
20170509 18 0 59.9047 10.7864 0.0 0.26138188
20170510 6 0 59.9047 10.7864 0.3 0.21120498
20170510 18 0 59.9047 10.7864 0.8 0.072423651
20170511 6 0 59.9047 10.7864 0.4 0.63548368
20170511 18 0 59.9047 10.7864 0.0 0.99
20170512 6 0 59.9047 10.7864 0.0 0.99675862
20170512 18 0 59.9047 10.7864 0.0 0.99739754
20170513 6 0 59.9047 10.7864 0.0 0.98188647
20170513 18 0 59.9047 10.7864 0.0 0.958422
20170514 6 0 59.9047 10.7864 0.1 0.18499147
20170514 18 0 59.9047 10.7864 0.0 0.86990556
20170515 6 0 59.9047 10.7864 0.0 0.87726388
20170515 18 0 59.9047 10.7864 0.0 0.97164303
20170516 6 0 59.9047 10.7864 0.0 0.66905903
20170516 18 0 59.9047 10.7864 1.6 0.2765605
20170517 6 0 59.9047 10.7864 2.5 0.4914835
20170517 18 0 59.9047 10.7864 0.0 0.77233537
20170518 6 0 59.9047 10.7864 0.8 0.30919564
20170518 18 0 59.9047 10.7864 0.3 0.34828146
20170519 6 0 59.9047 10.7864 0.0 0.981
20170519 18 0 59.9047 10.7864 0.0 0.988
20170520 6 0 59.9047 10.7864 0.0 0.92898214
20170520 18 0 59.9047 10.7864 0.0 0.87257796
20170521 6 0 59.9047 10.7864 0.0 0.99292308
20170521 18 0 59.9047 10.7864 0.0 1.0
20170522 6 0 59.9047 10.7864 0.0 0.9968041
20170522 18 0 59.9047 10.7864 0.0 0.99856267
20170523 6 0 59.9047 10.7864 0.0 1.0
20170523 18 0 59.9047 10.7864 0.0 1.0
20170524 6 0 59.9047 10.7864 0.0 0.994
20170524 18 0 59.9047 10.7864 0.0 0.999
20170525 6 0 59.9047 10.7864 0.0 0.996
20170525 18 0 59.9047 10.7864 0.0 1.0
20170526 6 0 59.9047 10.7864 0.0 0.999
20170526 18 0 59.9047 10.7864 0.0 0.999
20170527 6 0 59.9047 10.7864 0.0 1.0
20170527 18 0 59.9047 10.7864 0.0 0.999
20170528 6 0 59.9047 10.7864 0.0 0.98208974
20170528 18 0 59.9047 10.7864 0.0 0.68667949
20170529 6 0 59.9047 10.7864 0.0 0.998
20170529 18 0 59.9047 10.7864 0.0 0.82648895
20170530 6 0 59.9047 10.7864 0.4 0.78332033
20170530 18 0 59.9047 10.7864 0.0 0.93031988
20170531 6 0 59.9047 10.7864 0.0 0.9686577
20170531 18 0 59.9047 10.7864 0.0 1.0
20170601 6 0 59.9047 10.7864 0.0 1.0
20170601 18 0 59.9047 10.7864 0.0 0.99998039
20170602 6 0 59.9047 10.7864 0.0 0.95070118
20170602 18 0 59.9047 10.7864 0.0 0.70380306
20170603 6 0 59.9047 10.7864 0.0 0.96787309
20170603 18 0 59.9047 10.7864 0.0 0.9213847
20170604 6 0 59.9047 10.7864 0.0 0.8271444
20170604 18 0 59.9047 10.7864 0.2 0.45790095
20170605 6 0 59.9047 10.7864 0.0 0.99292857
20170605 18 0 59.9047 10.7864 0.0 0.98432334
20170606 6 0 59.9047 10.7864 0.2 0.83397171
20170606 18 0 59.9047 10.7864 0.2 0.77057025
20170607 6 0 59.9047 10.7864 0.0 0.89098427
20170607 18 0 59.9047 10.7864 0.0 0.58756863
20170608 12 0 59.9047 10.7864 0.0 0.28665496
20170609 0 0 59.9047 10.7864 0.0 0.94789659
20170609 12 0 59.9047 10.7864 0.0 0.92898537
20170610 0 0 59.9047 10.7864 8.7 0.23293437
20170610 12 0 59.9047 10.7864 0.0 0.89711069
20170611 0 0 59.9047 10.7864 0.0 0.99364706
20170611 12 0 59.9047 10.7864 0.0 0.78378401
20170612 0 0 59.9047 10.7864 0.0 0.99192857
20170612 12 0 59.9047 10.7864 0.0 0.81850056
20170613 0 0 59.9047 10.7864 0.0 0.999
20170613 12 0 59.9047 10.7864 0.0 0.86864133
20170614 0 0 59.9047 10.7864 0.0 0.998
20170614 12 0 59.9047 10.7864 0.0 0.86280476
20170615 0 0 59.9047 10.7864 0.0 0.998
20170615 12 0 59.9047 10.7864 0.0 0.997
20170616 0 0 59.9047 10.7864 0.0 0.94722742
20170616 12 0 59.9047 10.7864 0.1 0.3320585
20170617 0 0 59.9047 10.7864 0.0 0.999
20170617 12 0 59.9047 10.7864 0.0 0.98425817
20170618 0 0 59.9047 10.7864 0.0 0.99898039
20170618 12 0 59.9047 10.7864 0.0 0.991
20170619 6 0 59.9047 10.7864 0.0 0.998
20170619 18 0 59.9047 10.7864 3.7 0.69729552
20170620 6 0 59.9047 10.7864 0.0 1.0
20170621 0 0 59.9047 10.7864 0.0 1.0
20170623 12 0 59.9047 10.7864 0.0 0.66331744
20170624 0 0 59.9047 10.7864 0.0 0.999
20170624 12 0 59.9047 10.7864 0.0 0.993
20170625 0 0 59.9047 10.7864 0.0 0.999
20170625 12 0 59.9047 10.7864 0.0 0.90289622
20170626 0 0 59.9047 10.7864 0.0 0.99433333
20170626 12 0 59.9047 10.7864 0.0 0.80532424
20170627 0 0 59.9047 10.7864 0.0 1.0
20170627 12 0 59.9047 10.7864 0.0 1.0
20170628 0 0 59.9047 10.7864 0.0 1.0
20170628 12 0 59.9047 10.7864 0.0 0.999
20170629 0 0 59.9047 10.7864 0.0 0.999
20170629 12 0 59.9047 10.7864 0.0 0.996
20170630 0 0 59.9047 10.7864 0.0 1.0
20170630 12 0 59.9047 10.7864 0.0 0.997
20170701 0 0 59.9047 10.7864 0.0 1.0
20170701 12 0 59.9047 10.7864 0.0 1.0
20170702 0 0 59.9047 10.7864 0.0 0.99333333
20170702 12 0 59.9047 10.7864 0.0 0.99
20170703 0 0 59.9047 10.7864 0.0 0.996
20170703 12 0 59.9047 10.7864 0.0 0.93886975
20170704 0 0 59.9047 10.7864 0.0 0.99884448
20170704 12 0 59.9047 10.7864 0.0 0.99485
20170705 12 0 59.9047 10.7864 0.0 1.0
20170706 0 0 59.9047 10.7864 0.0 0.99998734
20170706 12 0 59.9047 10.7864 0.0 0.99296364
20170707 0 0 59.9047 10.7864 0.0 0.996
20170707 12 0 59.9047 10.7864 0.0 0.991
20170708 0 0 59.9047 10.7864 0.5 0.5928259
20170708 12 0 59.9047 10.7864 0.0 0.53018543
20170709 0 0 59.9047 10.7864 0.0 0.91094095
20170709 18 0 59.9047 10.7864 0.0 0.99246154
20170710 6 0 59.9047 10.7864 0.0 0.94439596
20170710 18 0 59.9047 10.7864 0.0 0.60093114
20170711 6 0 59.9047 10.7864 0.4 0.60484933
20170711 18 0 59.9047 10.7864 0.0 0.80269738
20170712 6 0 59.9047 10.7864 0.0 0.99
20170712 18 0 59.9047 10.7864 0.0 0.5823262
20170713 6 0 59.9047 10.7864 0.0 0.99266667
20170713 18 0 59.9047 10.7864 0.0 1.0
20170714 6 0 59.9047 10.7864 0.0 0.99985714
20170714 18 0 59.9047 10.7864 0.0 0.99785714
20170715 6 0 59.9047 10.7864 0.0 1.0
20170715 18 0 59.9047 10.7864 0.0 0.99497059
20170716 6 0 59.9047 10.7864 2.9 0.2392236
20170716 18 0 59.9047 10.7864 0.0 1.0
20170717 6 0 59.9047 10.7864 0.0 0.998
20170717 18 0 59.9047 10.7864 0.0 1.0
20170718 6 0 59.9047 10.7864 0.0 0.997
20170718 18 0 59.9047 10.7864 0.0 0.995
20170719 6 0 59.9047 10.7864 0.0 0.985
20170719 18 0 59.9047 10.7864 0.0 0.998
20170720 6 0 59.9047 10.7864 0.0 0.999
20170720 18 0 59.9047 10.7864 0.0 0.999
20170721 6 0 59.9047 10.7864 0.0 0.97971586
20170721 18 0 59.9047 10.7864 0.0 0.74073997
20170722 6 0 59.9047 10.7864 0.0 0.86713821
20170722 18 0 59.9047 10.7864 0.0 0.998
20170723 12 0 59.9047 10.7864 0.0 0.993
20170724 0 0 59.9047 10.7864 0.0 0.98682787
20170724 12 0 59.9047 10.7864 0.0 0.98253333
20170725 0 0 59.9047 10.7864 0.0 0.996
20170725 12 0 59.9047 10.7864 0.0 0.996
20170726 0 0 59.9047 10.7864 0.0 0.92538219
20170726 12 0 59.9047 10.7864 0.0 0.94892531
20170727 0 0 59.9047 10.7864 0.0 0.986
20170727 12 0 59.9047 10.7864 0.0 0.86218264
20170728 0 0 59.9047 10.7864 0.4 0.22949506
20170728 12 0 59.9047 10.7864 0.0 0.99357143
20170729 0 0 59.9047 10.7864 0.0 0.98979286
20170729 12 0 59.9047 10.7864 0.0 0.86303894
20170730 0 0 59.9047 10.7864 0.0 0.994
20170730 12 0 59.9047 10.7864 0.0 0.93509821
20170731 0 0 59.9047 10.7864 0.0 0.99657143
20170731 12 0 59.9047 10.7864 0.0 0.90702878
20170801 0 0 59.9047 10.7864 0.0 0.998
20170801 12 0 59.9047 10.7864 0.0 0.968
20170802 0 0 59.9047 10.7864 0.0 0.90873997
20170802 12 0 59.9047 10.7864 0.0 0.82757568
20170803 0 0 59.9047 10.7864 0.0 0.998
20170803 12 0 59.9047 10.7864 0.0 0.92342072
20170804 0 0 59.9047 10.7864 0.0 0.78523778
20170804 12 0 59.9047 10.7864 0.0 0.92
20170805 0 0 59.9047 10.7864 0.0 0.98067291
20170805 18 0 59.9047 10.7864 0.0 0.58971295
20170806 6 0 59.9047 10.7864 1.1 0.27316721
20170806 18 0 59.9047 10.7864 0.0 0.99597959
20170807 6 0 59.9047 10.7864 0.0 0.99367308
20170807 18 0 59.9047 10.7864 0.7 0.69035692
20170808 6 0 59.9047 10.7864 0.0 0.999
20170808 18 0 59.9047 10.7864 0.0 0.97627389
20170810 12 0 59.9047 10.7864 0.0 1.0
20170811 0 0 59.9047 10.7864 0.0 0.996
20170811 12 0 59.9047 10.7864 0.0 0.98675641
20170812 0 0 59.9047 10.7864 0.0 0.98842404
20170812 12 0 59.9047 10.7864 0.0 0.9711
20170813 0 0 59.9047 10.7864 0.4 0.25826696
20170813 12 0 59.9047 10.7864 0.0 1.0
20170814 0 0 59.9047 10.7864 0.0 0.9972
20170814 12 0 59.9047 10.7864 0.0 1.0
20170815 0 0 59.9047 10.7864 0.0 0.98934461
20170815 12 0 59.9047 10.7864 0.0 0.93961382
20170816 0 0 59.9047 10.7864 6.5 0.18461411
20170816 18 0 59.9047 10.7864 0.0 0.98274643
20170817 6 0 59.9047 10.7864 0.0 0.99355
20170817 18 0 59.9047 10.7864 0.0 0.9422747
20170818 6 0 59.9047 10.7864 0.1 0.97168333
20170818 18 0 59.9047 10.7864 0.0 0.68519924
20170819 6 0 59.9047 10.7864 0.0 0.63367427
20170819 18 0 59.9047 10.7864 0.0 0.97469487
20170820 6 0 59.9047 10.7864 0.0 0.95971667
20170820 18 0 59.9047 10.7864 0.0 0.997
20170821 6 0 59.9047 10.7864 0.0 0.999
20170821 18 0 59.9047 10.7864 0.0 0.88647019
20170822 6 0 59.9047 10.7864 0.0 1.0
20170822 18 0 59.9047 10.7864 0.0 1.0
