date hour leadtime latitude longitude obs p0.2
20170204 18 0 59.9047 10.7864 0.0 0.82700162
20170205 6 0 59.9047 10.7864 0.0 0.92708138
20170205 18 0 59.9047 10.7864 0.0 0.9428909
20170206 6 0 59.9047 10.7864 0.0 0.94611364
20170207 0 0 59.9047 10.7864 0.0 0.88271145
20170207 12 0 59.9047 10.7864 0.0 0.97672727
20170208 0 0 59.9047 10.7864 0.0 0.94967965
20170208 12 0 59.9047 10.7864 0.0 0.98021918
20170209 0 0 59.9047 10.7864 0.0 0.98093288
20170209 12 0 59.9047 10.7864 0.0 0.98933333
20170210 0 0 59.9047 10.7864 0.1 0.55911413
20170210 12 0 59.9047 10.7864 0.0 0.94205
20170211 0 0 59.9047 10.7864 0.0 0.89488764
20170211 12 0 59.9047 10.7864 0.0 0.96129928
20170212 0 0 59.9047 10.7864 0.0 0.99
20170212 12 0 59.9047 10.7864 0.0 0.992
20170213 0 0 59.9047 10.7864 0.0 1.0
20170213 18 0 59.9047 10.7864 0.0 1.0
20170214 6 0 59.9047 10.7864 0.0 0.998
20170214 18 0 59.9047 10.7864 0.0 0.998
20170215 6 0 59.9047 10.7864 0.0 0.98597283
20170215 18 0 59.9047 10.7864 0.0 0.98195745
20170216 6 0 59.9047 10.7864 0.0 0.86773999
20170216 18 0 59.9047 10.7864 0.0 0.98346856
20170217 6 0 59.9047 10.7864 0.0 0.98153679
20170217 18 0 59.9047 10.7864 0.0 0.99
20170218 6 0 59.9047 10.7864 0.0 0.9556736
20170218 18 0 59.9047 10.7864 0.3 0.28830343
20170219 6 0 59.9047 10.7864 0.0 1.0
20170219 18 0 59.9047 10.7864 0.0 0.93472418
20170220 6 0 59.9047 10.7864 0.0 0.99062313
20170220 18 0 59.9047 10.7864 0.0 0.94221743
20170221 6 0 59.9047 10.7864 0.0 0.96
20170221 18 0 59.9047 10.7864 0.0 0.94668356
20170222 6 0 59.9047 10.7864 3.0 0.44046436
20170222 18 0 59.9047 10.7864 0.0 0.996
20170223 6 0 59.9047 10.7864 0.0 0.99998374
20170223 18 0 59.9047 10.7864 0.0 1.0
20170224 6 0 59.9047 10.7864 0.0 1.0
20170224 18 0 59.9047 10.7864 0.0 1.0
20170225 6 0 59.9047 10.7864 0.0 0.97993103
20170225 18 0 59.9047 10.7864 0.9 0.20256478
20170226 6 0 59.9047 10.7864 0.0 0.996
20170226 18 0 59.9047 10.7864 0.0 0.93610628
20170227 6 0 59.9047 10.7864 0.9 0.42286264
20170227 18 0 59.9047 10.7864 0.0 0.91618887
20170228 6 0 59.9047 10.7864 0.9 0.14950185
20170228 18 0 59.9047 10.7864 0.2 0.44671885
20170409 18 0 59.9047 10.7864 0.0 0.95841945
20170410 6 0 59.9047 10.7864 0.6 0.55941525
20170410 18 0 59.9047 10.7864 0.0 0.99981818
20170411 6 0 59.9047 10.7864 0.0 1.0
20170411 18 0 59.9047 10.7864 0.0 0.98892827
20170412 6 0 59.9047 10.7864 0.0 0.97091064
20170412 18 0 59.9047 10.7864 0.0 0.32550953
20170413 6 0 59.9047 10.7864 1.4 0.30580624
20170413 18 0 59.9047 10.7864 2.2 0.1710944
20170414 6 0 59.9047 10.7864 0.0 0.96446713
20170415 0 0 59.9047 10.7864 0.0 0.99012821
20170415 12 0 59.9047 10.7864 0.0 0.98933333
20170416 0 0 59.9047 10.7864 0.0 0.97879353
20170416 12 0 59.9047 10.7864 0.0 0.53656726
20170417 0 0 59.9047 10.7864 0.0 0.50005028
20170417 12 0 59.9047 10.7864 0.0 0.8848331
20170418 12 0 59.9047 10.7864 0.0 0.76352837
20170419 0 0 59.9047 10.7864 0.0 0.996
20170419 12 0 59.9047 10.7864 0.0 0.99377778
20170420 0 0 59.9047 10.7864 0.0 0.98543932
20170420 12 0 59.9047 10.7864 0.0 1.0
20170421 0 0 59.9047 10.7864 0.0 1.0
20170421 12 0 59.9047 10.7864 0.0 0.97303333
20170422 0 0 59.9047 10.7864 0.0 0.998
20170422 12 0 59.9047 10.7864 0.0 0.998
20170423 0 0 59.9047 10.7864 0.0 1.0
20170423 12 0 59.9047 10.7864 0.0 0.99022051
20170424 0 0 59.9047 10.7864 0.0 0.80718474
20170424 18 0 59.9047 10.7864 0.1 0.33387529
20170425 6 0 59.9047 10.7864 0.0 0.56637388
20170425 18 0 59.9047 10.7864 0.0 0.96776443
20170426 6 0 59.9047 10.7864 0.0 0.992
20170427 0 0 59.9047 10.7864 0.0 0.93663256
20170427 12 0 59.9047 10.7864 0.0 0.86575514
20170428 0 0 59.9047 10.7864 0.0 0.93043036
20170428 12 0 59.9047 10.7864 0.0 0.86626977
20170429 0 0 59.9047 10.7864 0.0 0.92019479
20170429 12 0 59.9047 10.7864 0.0 0.98824887
20170430 0 0 59.9047 10.7864 0.0 0.99562492
20170430 12 0 59.9047 10.7864 0.0 0.99387221
20170501 0 0 59.9047 10.7864 0.0 0.97184211
20170503 18 0 59.9047 10.7864 0.0 1.0
20170504 6 0 59.9047 10.7864 0.0 0.998
20170504 18 0 59.9047 10.7864 0.0 1.0
20170505 6 0 59.9047 10.7864 0.0 0.9968
20170505 18 0 59.9047 10.7864 0.0 0.9968
20170506 6 0 59.9047 10.7864 0.0 1.0
20170506 18 0 59.9047 10.7864 0.0 0.94350712
20170507 6 0 59.9047 10.7864 1.4 0.57462181
20170507 18 0 59.9047 10.7864 0.0 1.0
20170508 6 0 59.9047 10.7864 0.0 0.85589861
20170508 18 0 59.9047 10.7864 0.0 0.99949275
20170509 6 0 59.9047 10.7864 0.0 0.95005845
20170509 18 0 59.9047 10.7864 0.0 0.074343339
20170510 6 0 59.9047 10.7864 0.3 0.22041786
