date hour leadtime latitude longitude obs p0.2
20170204 18 0 59.9047 10.7864 0.0 0.93699927
20170205 6 0 59.9047 10.7864 0.0 0.98603855
20170205 18 0 59.9047 10.7864 0.0 0.9938771
20170206 6 0 59.9047 10.7864 0.0 0.96597379
20170207 0 0 59.9047 10.7864 0.0 0.85599228
20170207 12 0 59.9047 10.7864 0.0 0.9817216
20170208 0 0 59.9047 10.7864 0.0 0.99506472
20170208 12 0 59.9047 10.7864 0.0 0.98023438
20170209 0 0 59.9047 10.7864 0.0 0.92249518
20170209 12 0 59.9047 10.7864 0.0 0.99822579
20170210 0 0 59.9047 10.7864 0.1 0.539379
20170210 12 0 59.9047 10.7864 0.0 0.92859563
20170211 0 0 59.9047 10.7864 0.0 0.84942286
20170211 12 0 59.9047 10.7864 0.0 0.99137739
20170212 0 0 59.9047 10.7864 0.0 0.99889329
20170212 12 0 59.9047 10.7864 0.0 0.99994493
20170213 0 0 59.9047 10.7864 0.0 0.99994493
20170213 18 0 59.9047 10.7864 0.0 0.99994493
20170214 6 0 59.9047 10.7864 0.0 0.99994493
20170214 18 0 59.9047 10.7864 0.0 0.99994493
20170215 6 0 59.9047 10.7864 0.0 0.99696096
20170215 18 0 59.9047 10.7864 0.0 0.9969905
20170216 6 0 59.9047 10.7864 0.0 0.96484287
20170216 18 0 59.9047 10.7864 0.0 0.9997221
20170217 6 0 59.9047 10.7864 0.0 0.99859594
20170217 18 0 59.9047 10.7864 0.0 0.99899607
20170218 6 0 59.9047 10.7864 0.0 0.99748495
20170218 18 0 59.9047 10.7864 0.3 0.19903496
20170219 6 0 59.9047 10.7864 0.0 0.99994493
20170219 18 0 59.9047 10.7864 0.0 0.97562053
20170220 6 0 59.9047 10.7864 0.0 0.99905336
20170220 18 0 59.9047 10.7864 0.0 0.98848487
20170221 6 0 59.9047 10.7864 0.0 0.99921733
20170221 18 0 59.9047 10.7864 0.0 0.9926774
20170222 6 0 59.9047 10.7864 3.0 0.11974823
20170222 18 0 59.9047 10.7864 0.0 0.9996654
20170223 6 0 59.9047 10.7864 0.0 0.99913403
20170223 18 0 59.9047 10.7864 0.0 0.99994493
20170224 6 0 59.9047 10.7864 0.0 0.99994493
20170224 18 0 59.9047 10.7864 0.0 0.99994493
20170225 6 0 59.9047 10.7864 0.0 0.99968684
20170225 18 0 59.9047 10.7864 0.9 0.2302216
20170226 6 0 59.9047 10.7864 0.0 0.99878969
20170226 18 0 59.9047 10.7864 0.0 0.98976358
