date hour leadtime latitude longitude obs p0.2
20170204 18 0 59.9047 10.7864 0.0 0.90205557
20170205 6 0 59.9047 10.7864 0.0 0.94340562
20170205 18 0 59.9047 10.7864 0.0 0.91871951
20170206 6 0 59.9047 10.7864 0.0 0.95044414
20170207 0 0 59.9047 10.7864 0.0 0.885
20170207 12 0 59.9047 10.7864 0.0 0.97358469
20170208 0 0 59.9047 10.7864 0.0 0.99
20170208 12 0 59.9047 10.7864 0.0 0.9749918
20170209 0 0 59.9047 10.7864 0.0 0.98991667
20170209 12 0 59.9047 10.7864 0.0 0.99491071
20170210 0 0 59.9047 10.7864 0.1 0.52113636
20170210 12 0 59.9047 10.7864 0.0 0.85824921
20170211 0 0 59.9047 10.7864 0.0 0.95259234
20170211 12 0 59.9047 10.7864 0.0 0.93828481
20170212 0 0 59.9047 10.7864 0.0 0.98875
20170212 12 0 59.9047 10.7864 0.0 0.99999965
20170213 0 0 59.9047 10.7864 0.0 0.99999965
20170213 18 0 59.9047 10.7864 0.0 0.99999965
20170214 6 0 59.9047 10.7864 0.0 0.99874965
20170214 18 0 59.9047 10.7864 0.0 0.99624965
20170215 6 0 59.9047 10.7864 0.0 0.99342222
20170215 18 0 59.9047 10.7864 0.0 0.99625
20170216 6 0 59.9047 10.7864 0.0 0.89179387
20170216 18 0 59.9047 10.7864 0.0 0.98248214
20170217 6 0 59.9047 10.7864 0.0 0.99125
20170217 18 0 59.9047 10.7864 0.0 0.99625
20170218 6 0 59.9047 10.7864 0.0 0.9899411
20170218 18 0 59.9047 10.7864 0.3 0.33503762
20170219 6 0 59.9047 10.7864 0.0 0.99999965
20170219 18 0 59.9047 10.7864 0.0 0.97354768
20170220 6 0 59.9047 10.7864 0.0 0.98432395
20170220 18 0 59.9047 10.7864 0.0 0.96429627
20170221 6 0 59.9047 10.7864 0.0 0.98860833
20170221 18 0 59.9047 10.7864 0.0 0.98375
20170222 6 0 59.9047 10.7864 3.0 0.3168982
20170222 18 0 59.9047 10.7864 0.0 0.99980769
20170223 6 0 59.9047 10.7864 0.0 0.98728932
20170223 18 0 59.9047 10.7864 0.0 0.99874965
20170224 6 0 59.9047 10.7864 0.0 0.99482386
20170224 18 0 59.9047 10.7864 0.0 0.99999965
20170225 6 0 59.9047 10.7864 0.0 0.9959375
20170225 18 0 59.9047 10.7864 0.9 0.16540329
20170226 6 0 59.9047 10.7864 0.0 1.0
20170226 18 0 59.9047 10.7864 0.0 0.95767321
20170227 6 0 59.9047 10.7864 0.9 0.43731998
20170227 18 0 59.9047 10.7864 0.0 0.91744399
20170228 6 0 59.9047 10.7864 0.9 0.049675332
20170228 18 0 59.9047 10.7864 0.2 0.5613233
