date hour leadtime latitude longitude obs p0.2
20170204 18 0 59.9047 10.7864 0.0 0.89894431
20170205 6 0 59.9047 10.7864 0.0 0.94118948
20170205 18 0 59.9047 10.7864 0.0 0.93844608
20170206 6 0 59.9047 10.7864 0.0 0.8985779
20170207 0 0 59.9047 10.7864 0.0 0.8385119
20170207 12 0 59.9047 10.7864 0.0 0.94071154
20170208 0 0 59.9047 10.7864 0.0 0.97666667
20170208 12 0 59.9047 10.7864 0.0 0.9478125
20170209 0 0 59.9047 10.7864 0.0 0.9657012
20170209 12 0 59.9047 10.7864 0.0 0.99342448
20170210 0 0 59.9047 10.7864 0.1 0.3901826
20170210 12 0 59.9047 10.7864 0.0 0.86217772
20170211 0 0 59.9047 10.7864 0.0 0.86294768
20170211 12 0 59.9047 10.7864 0.0 0.92570776
20170212 0 0 59.9047 10.7864 0.0 0.99269086
20170212 12 0 59.9047 10.7864 0.0 0.99625
20170213 0 0 59.9047 10.7864 0.0 1.0
20170213 18 0 59.9047 10.7864 0.0 1.0
20170214 6 0 59.9047 10.7864 0.0 0.99625
20170214 18 0 59.9047 10.7864 0.0 0.99875
20170215 6 0 59.9047 10.7864 0.0 0.995
20170215 18 0 59.9047 10.7864 0.0 0.983375
20170216 6 0 59.9047 10.7864 0.0 0.85816431
20170216 18 0 59.9047 10.7864 0.0 0.985
20170217 6 0 59.9047 10.7864 0.0 0.98
20170217 18 0 59.9047 10.7864 0.0 0.9975
20170218 6 0 59.9047 10.7864 0.0 0.97965885
20170218 18 0 59.9047 10.7864 0.3 0.27660591
20170219 6 0 59.9047 10.7864 0.0 1.0
20170219 18 0 59.9047 10.7864 0.0 0.95253372
20170220 6 0 59.9047 10.7864 0.0 0.99369862
20170220 18 0 59.9047 10.7864 0.0 0.9600222
20170221 6 0 59.9047 10.7864 0.0 0.98323465
20170221 18 0 59.9047 10.7864 0.0 0.9844803
20170222 6 0 59.9047 10.7864 3.0 0.35625779
20170222 18 0 59.9047 10.7864 0.0 0.99875
20170223 6 0 59.9047 10.7864 0.0 0.98749684
20170223 18 0 59.9047 10.7864 0.0 0.99875
20170224 6 0 59.9047 10.7864 0.0 0.99748563
20170224 18 0 59.9047 10.7864 0.0 1.0
20170225 6 0 59.9047 10.7864 0.0 0.98525779
20170225 18 0 59.9047 10.7864 0.9 0.1468751
20170226 6 0 59.9047 10.7864 0.0 0.99999219
20170226 18 0 59.9047 10.7864 0.0 0.96294647
20170227 6 0 59.9047 10.7864 0.9 0.39570722
20170227 18 0 59.9047 10.7864 0.0 0.89902017
20170228 6 0 59.9047 10.7864 0.9 0.042291956
20170228 18 0 59.9047 10.7864 0.2 0.39327815
20170409 18 0 59.9047 10.7864 0.0 0.96440858
20170410 6 0 59.9047 10.7864 0.6 0.4310418
20170410 18 0 59.9047 10.7864 0.0 0.996
20170411 6 0 59.9047 10.7864 0.0 0.99245902
20170411 18 0 59.9047 10.7864 0.0 0.9975
20170412 6 0 59.9047 10.7864 0.0 0.9611
20170412 18 0 59.9047 10.7864 0.0 0.20786716
20170413 6 0 59.9047 10.7864 1.4 0.2131535
20170413 18 0 59.9047 10.7864 2.2 0.044383651
20170414 6 0 59.9047 10.7864 0.0 0.9196378
20170415 0 0 59.9047 10.7864 0.0 1.0
20170415 12 0 59.9047 10.7864 0.0 0.99486719
20170416 0 0 59.9047 10.7864 0.0 0.99360294
20170416 12 0 59.9047 10.7864 0.0 0.55251955
20170417 0 0 59.9047 10.7864 0.0 0.33055448
20170417 12 0 59.9047 10.7864 0.0 0.90122966
20170418 12 0 59.9047 10.7864 0.0 0.81199873
20170419 0 0 59.9047 10.7864 0.0 0.9975
20170419 12 0 59.9047 10.7864 0.0 0.99847192
20170420 0 0 59.9047 10.7864 0.0 0.99578704
20170420 12 0 59.9047 10.7864 0.0 0.98041547
20170421 0 0 59.9047 10.7864 0.0 0.99875
20170421 12 0 59.9047 10.7864 0.0 0.95282985
20170422 0 0 59.9047 10.7864 0.0 0.99875
20170422 12 0 59.9047 10.7864 0.0 0.99865625
20170423 0 0 59.9047 10.7864 0.0 1.0
20170423 12 0 59.9047 10.7864 0.0 0.98125
20170424 0 0 59.9047 10.7864 0.0 0.66755073
20170424 18 0 59.9047 10.7864 0.1 0.095206445
20170425 6 0 59.9047 10.7864 0.0 0.69204009
20170425 18 0 59.9047 10.7864 0.0 0.97979694
20170426 6 0 59.9047 10.7864 0.0 0.99375
20170427 0 0 59.9047 10.7864 0.0 0.97745
20170427 12 0 59.9047 10.7864 0.0 0.88329089
20170428 0 0 59.9047 10.7864 0.0 0.96859375
20170428 12 0 59.9047 10.7864 0.0 0.82567998
20170429 0 0 59.9047 10.7864 0.0 0.92101561
20170429 12 0 59.9047 10.7864 0.0 1.0
20170430 0 0 59.9047 10.7864 0.0 0.9831454
20170430 12 0 59.9047 10.7864 0.0 0.99099073
20170501 0 0 59.9047 10.7864 0.0 0.99
20170503 18 0 59.9047 10.7864 0.0 0.99875
20170504 6 0 59.9047 10.7864 0.0 0.995
20170504 18 0 59.9047 10.7864 0.0 0.99916667
20170505 6 0 59.9047 10.7864 0.0 0.99375
20170505 18 0 59.9047 10.7864 0.0 0.995
20170506 6 0 59.9047 10.7864 0.0 0.9975
20170506 18 0 59.9047 10.7864 0.0 0.9328342
20170507 6 0 59.9047 10.7864 1.4 0.43458842
20170507 18 0 59.9047 10.7864 0.0 1.0
20170508 6 0 59.9047 10.7864 0.0 0.93189342
20170508 18 0 59.9047 10.7864 0.0 1.0
20170509 6 0 59.9047 10.7864 0.0 0.9528702
20170509 18 0 59.9047 10.7864 0.0 0.32331552
20170510 6 0 59.9047 10.7864 0.3 0.10547509
20170510 18 0 59.9047 10.7864 0.8 0.013819897
20170511 6 0 59.9047 10.7864 0.4 0.31966568
