date hour leadtime latitude longitude obs p0.2
20170204 18 0 59.9047 10.7864 0.0 0.45819454
20170205 6 0 59.9047 10.7864 0.0 0.67156574
20170205 18 0 59.9047 10.7864 0.0 0.59652712
20170206 6 0 59.9047 10.7864 0.0 0.66396536
20170207 0 0 59.9047 10.7864 0.0 0.49824496
20170207 12 0 59.9047 10.7864 0.0 0.86907501
20170208 0 0 59.9047 10.7864 0.0 0.92093939
20170208 12 0 59.9047 10.7864 0.0 0.85705899
20170209 0 0 59.9047 10.7864 0.0 0.89442687
20170209 12 0 59.9047 10.7864 0.0 0.93702679
20170210 0 0 59.9047 10.7864 0.1 0.13260417
20170210 12 0 59.9047 10.7864 0.0 0.59391855
20170211 0 0 59.9047 10.7864 0.0 0.72260918
20170211 12 0 59.9047 10.7864 0.0 0.78671859
20170212 0 0 59.9047 10.7864 0.0 0.93836832
20170212 12 0 59.9047 10.7864 0.0 0.98672794
20170213 0 0 59.9047 10.7864 0.0 0.99618056
20170213 18 0 59.9047 10.7864 0.0 0.985125
20170214 6 0 59.9047 10.7864 0.0 0.97419168
20170214 18 0 59.9047 10.7864 0.0 0.96522988
20170215 6 0 59.9047 10.7864 0.0 0.95465476
20170215 18 0 59.9047 10.7864 0.0 0.91886233
20170216 6 0 59.9047 10.7864 0.0 0.45461641
20170216 18 0 59.9047 10.7864 0.0 0.88679046
20170217 6 0 59.9047 10.7864 0.0 0.9363885
20170217 18 0 59.9047 10.7864 0.0 0.95481707
20170218 6 0 59.9047 10.7864 0.0 0.9022774
20170218 18 0 59.9047 10.7864 0.3 0.089074628
20170219 6 0 59.9047 10.7864 0.0 0.99118297
20170219 18 0 59.9047 10.7864 0.0 0.83718067
20170220 6 0 59.9047 10.7864 0.0 0.90477782
20170220 18 0 59.9047 10.7864 0.0 0.85326811
20170221 6 0 59.9047 10.7864 0.0 0.90584002
20170221 18 0 59.9047 10.7864 0.0 0.80597102
20170222 6 0 59.9047 10.7864 3.0 0.17154008
20170222 18 0 59.9047 10.7864 0.0 0.96399453
20170223 6 0 59.9047 10.7864 0.0 0.9444888
20170223 18 0 59.9047 10.7864 0.0 0.97853191
20170224 6 0 59.9047 10.7864 0.0 0.96766557
20170224 18 0 59.9047 10.7864 0.0 0.99370807
20170225 6 0 59.9047 10.7864 0.0 0.92333447
20170225 18 0 59.9047 10.7864 0.9 0.033362745
20170226 6 0 59.9047 10.7864 0.0 0.98322891
20170226 18 0 59.9047 10.7864 0.0 0.71170179
20170227 6 0 59.9047 10.7864 0.9 0.13112647
20170227 18 0 59.9047 10.7864 0.0 0.57965761
20170228 6 0 59.9047 10.7864 0.9 0.017708333
20170228 18 0 59.9047 10.7864 0.2 0.19794028
20170409 18 0 59.9047 10.7864 0.0 0.84275708
20170410 6 0 59.9047 10.7864 0.6 0.21952081
20170410 18 0 59.9047 10.7864 0.0 0.965
20170411 6 0 59.9047 10.7864 0.0 0.95858218
20170411 18 0 59.9047 10.7864 0.0 0.96742544
20170412 6 0 59.9047 10.7864 0.0 0.87564977
20170412 18 0 59.9047 10.7864 0.0 0.063200618
20170413 6 0 59.9047 10.7864 1.4 0.034015508
20170413 18 0 59.9047 10.7864 2.2 0.023035714
20170414 6 0 59.9047 10.7864 0.0 0.66968686
20170415 0 0 59.9047 10.7864 0.0 0.97559686
20170415 12 0 59.9047 10.7864 0.0 0.98445603
20170416 0 0 59.9047 10.7864 0.0 0.93097783
20170416 12 0 59.9047 10.7864 0.0 0.25385033
20170417 0 0 59.9047 10.7864 0.0 0.073111037
20170417 12 0 59.9047 10.7864 0.0 0.72825978
20170418 12 0 59.9047 10.7864 0.0 0.54772439
20170419 0 0 59.9047 10.7864 0.0 0.97166667
20170419 12 0 59.9047 10.7864 0.0 0.97075
20170420 0 0 59.9047 10.7864 0.0 0.94911415
20170420 12 0 59.9047 10.7864 0.0 0.88138934
20170421 0 0 59.9047 10.7864 0.0 0.98835138
20170421 12 0 59.9047 10.7864 0.0 0.81734774
20170422 0 0 59.9047 10.7864 0.0 0.96075521
20170422 12 0 59.9047 10.7864 0.0 0.96318056
20170423 0 0 59.9047 10.7864 0.0 0.98371108
20170423 12 0 59.9047 10.7864 0.0 0.93218871
20170424 0 0 59.9047 10.7864 0.0 0.36690042
20170424 18 0 59.9047 10.7864 0.1 0.08375
20170425 6 0 59.9047 10.7864 0.0 0.24601299
20170425 18 0 59.9047 10.7864 0.0 0.8578284
20170426 6 0 59.9047 10.7864 0.0 0.95458333
20170427 0 0 59.9047 10.7864 0.0 0.91725502
20170427 12 0 59.9047 10.7864 0.0 0.69425839
20170428 0 0 59.9047 10.7864 0.0 0.90989504
20170428 12 0 59.9047 10.7864 0.0 0.39965906
20170429 0 0 59.9047 10.7864 0.0 0.70736574
20170429 12 0 59.9047 10.7864 0.0 0.95915387
20170430 0 0 59.9047 10.7864 0.0 0.85048424
20170430 12 0 59.9047 10.7864 0.0 0.88487927
20170501 0 0 59.9047 10.7864 0.0 0.9265471
20170503 18 0 59.9047 10.7864 0.0 0.95333504
20170504 6 0 59.9047 10.7864 0.0 0.97583333
20170504 18 0 59.9047 10.7864 0.0 0.975
20170505 6 0 59.9047 10.7864 0.0 0.9325
20170505 18 0 59.9047 10.7864 0.0 0.94
20170506 6 0 59.9047 10.7864 0.0 0.95020833
20170506 18 0 59.9047 10.7864 0.0 0.77845772
20170507 6 0 59.9047 10.7864 1.4 0.20361228
20170507 18 0 59.9047 10.7864 0.0 0.93953219
20170508 6 0 59.9047 10.7864 0.0 0.73713566
20170508 18 0 59.9047 10.7864 0.0 0.98152881
20170509 6 0 59.9047 10.7864 0.0 0.84340721
20170509 18 0 59.9047 10.7864 0.0 0.018611111
20170510 6 0 59.9047 10.7864 0.3 0.021907161
20170510 18 0 59.9047 10.7864 0.8 0.0081547619
20170511 6 0 59.9047 10.7864 0.4 0.10184548
20170511 18 0 59.9047 10.7864 0.0 0.90693232
20170512 6 0 59.9047 10.7864 0.0 0.87824266
20170512 18 0 59.9047 10.7864 0.0 0.93895149
20170513 6 0 59.9047 10.7864 0.0 0.88265152
20170513 18 0 59.9047 10.7864 0.0 0.86483785
20170514 6 0 59.9047 10.7864 0.1 0.025065789
20170514 18 0 59.9047 10.7864 0.0 0.4265625
20170515 6 0 59.9047 10.7864 0.0 0.68411235
20170515 18 0 59.9047 10.7864 0.0 0.57601226
20170516 6 0 59.9047 10.7864 0.0 0.24341396
20170516 18 0 59.9047 10.7864 1.6 0.018780488
20170517 6 0 59.9047 10.7864 2.5 0.12676786
20170517 18 0 59.9047 10.7864 0.0 0.46889419
20170518 6 0 59.9047 10.7864 0.8 0.037746165
20170518 18 0 59.9047 10.7864 0.3 0.035659373
20170519 6 0 59.9047 10.7864 0.0 0.82000816
20170519 18 0 59.9047 10.7864 0.0 0.78225792
20170520 6 0 59.9047 10.7864 0.0 0.6838959
20170520 18 0 59.9047 10.7864 0.0 0.76250744
20170521 6 0 59.9047 10.7864 0.0 0.71688238
20170521 18 0 59.9047 10.7864 0.0 0.97875
20170522 6 0 59.9047 10.7864 0.0 0.8445134
20170522 18 0 59.9047 10.7864 0.0 0.80872944
20170523 6 0 59.9047 10.7864 0.0 0.90075
20170523 18 0 59.9047 10.7864 0.0 0.96871032
20170524 6 0 59.9047 10.7864 0.0 0.89078544
20170524 18 0 59.9047 10.7864 0.0 0.921875
20170525 6 0 59.9047 10.7864 0.0 0.78537891
20170525 18 0 59.9047 10.7864 0.0 0.96822115
20170526 6 0 59.9047 10.7864 0.0 0.88266101
20170526 18 0 59.9047 10.7864 0.0 0.96140625
20170527 6 0 59.9047 10.7864 0.0 0.90875
20170527 18 0 59.9047 10.7864 0.0 0.9790625
20170528 6 0 59.9047 10.7864 0.0 0.8359328
20170528 18 0 59.9047 10.7864 0.0 0.41512366
20170529 6 0 59.9047 10.7864 0.0 0.88541667
20170529 18 0 59.9047 10.7864 0.0 0.57269263
20170530 6 0 59.9047 10.7864 0.4 0.26391421
20170530 18 0 59.9047 10.7864 0.0 0.85999802
20170531 6 0 59.9047 10.7864 0.0 0.83313399
20170531 18 0 59.9047 10.7864 0.0 0.94610294
20170601 6 0 59.9047 10.7864 0.0 0.83166667
20170601 18 0 59.9047 10.7864 0.0 0.86661475
20170602 6 0 59.9047 10.7864 0.0 0.58976399
20170602 18 0 59.9047 10.7864 0.0 0.1715187
20170603 6 0 59.9047 10.7864 0.0 0.84357016
20170603 18 0 59.9047 10.7864 0.0 0.75500421
20170604 6 0 59.9047 10.7864 0.0 0.60968914
20170604 18 0 59.9047 10.7864 0.2 0.16338904
20170605 6 0 59.9047 10.7864 0.0 0.82063447
20170605 18 0 59.9047 10.7864 0.0 0.75752353
20170606 6 0 59.9047 10.7864 0.2 0.2342323
20170606 18 0 59.9047 10.7864 0.2 0.38382983
20170607 6 0 59.9047 10.7864 0.0 0.5980232
20170607 18 0 59.9047 10.7864 0.0 0.096127841
20170608 12 0 59.9047 10.7864 0.0 0.053654514
20170609 0 0 59.9047 10.7864 0.0 0.77791643
20170609 12 0 59.9047 10.7864 0.0 0.52644986
20170610 0 0 59.9047 10.7864 8.7 0.040331662
20170610 12 0 59.9047 10.7864 0.0 0.47472594
20170611 0 0 59.9047 10.7864 0.0 0.92158207
20170611 12 0 59.9047 10.7864 0.0 0.17177761
20170612 0 0 59.9047 10.7864 0.0 0.91307191
20170612 12 0 59.9047 10.7864 0.0 0.73417889
20170613 0 0 59.9047 10.7864 0.0 0.93498975
20170613 12 0 59.9047 10.7864 0.0 0.67724577
20170614 0 0 59.9047 10.7864 0.0 0.91814452
20170614 12 0 59.9047 10.7864 0.0 0.39996528
20170615 0 0 59.9047 10.7864 0.0 0.95748975
20170615 12 0 59.9047 10.7864 0.0 0.91304338
20170616 0 0 59.9047 10.7864 0.0 0.82618542
