date hour leadtime latitude longitude obs p0.2
20170204 18 0 59.9047 10.7864 0.0 0.63905952
20170205 6 0 59.9047 10.7864 0.0 0.72308535
20170205 18 0 59.9047 10.7864 0.0 0.77666667
20170206 6 0 59.9047 10.7864 0.0 0.9570847
20170207 0 0 59.9047 10.7864 0.0 0.96972222
20170207 12 0 59.9047 10.7864 0.0 0.99666667
20170208 0 0 59.9047 10.7864 0.0 0.96293803
20170208 12 0 59.9047 10.7864 0.0 0.9583288
20170209 0 0 59.9047 10.7864 0.0 0.99
20170209 12 0 59.9047 10.7864 0.0 0.97777325
20170210 0 0 59.9047 10.7864 0.1 0.73041667
20170210 12 0 59.9047 10.7864 0.0 0.85823958
20170211 0 0 59.9047 10.7864 0.0 0.95619048
20170211 12 0 59.9047 10.7864 0.0 0.92
20170212 0 0 59.9047 10.7864 0.0 0.97666667
20170212 12 0 59.9047 10.7864 0.0 0.99666667
20170213 0 0 59.9047 10.7864 0.0 0.99833333
20170213 18 0 59.9047 10.7864 0.0 0.99833333
20170214 6 0 59.9047 10.7864 0.0 0.99833333
20170214 18 0 59.9047 10.7864 0.0 0.99664659
20170215 6 0 59.9047 10.7864 0.0 0.96166214
20170215 18 0 59.9047 10.7864 0.0 0.94613843
20170216 6 0 59.9047 10.7864 0.0 0.69249819
20170216 18 0 59.9047 10.7864 0.0 0.86911866
20170217 6 0 59.9047 10.7864 0.0 0.99166667
20170217 18 0 59.9047 10.7864 0.0 0.995
20170218 6 0 59.9047 10.7864 0.0 0.97747568
20170218 18 0 59.9047 10.7864 0.3 0.89958324
20170219 6 0 59.9047 10.7864 0.0 0.99999647
20170219 18 0 59.9047 10.7864 0.0 0.97562511
20170220 6 0 59.9047 10.7864 0.0 0.96719462
20170220 18 0 59.9047 10.7864 0.0 0.95634974
20170221 6 0 59.9047 10.7864 0.0 0.95640201
20170221 18 0 59.9047 10.7864 0.0 0.85287809
20170222 6 0 59.9047 10.7864 3.0 0.55256683
20170222 18 0 59.9047 10.7864 0.0 0.98781205
20170223 6 0 59.9047 10.7864 0.0 0.99666475
20170223 18 0 59.9047 10.7864 0.0 0.99328205
20170224 6 0 59.9047 10.7864 0.0 0.97750355
20170224 18 0 59.9047 10.7864 0.0 1.0
20170225 6 0 59.9047 10.7864 0.0 0.98830303
20170225 18 0 59.9047 10.7864 0.9 0.36458296
20170226 6 0 59.9047 10.7864 0.0 0.995
20170226 18 0 59.9047 10.7864 0.0 0.69644513
