# variable: T
# units: $^oC$
date leadtime location lat lon altitude obs fcst p0 p11 pit
20120101 0 415 49.35 -122.77 0 -6.52 -6.83 1.000 1.000 0.61
20120101 1 415 49.35 -122.77 0 -5.73 -5.72 1.000 1.000 0.49
20120101 2 415 49.35 -122.77 0 -5.01 -5.35 1.000 1.000 0.63
20120101 3 415 49.35 -122.77 0 -5.20 -4.40 1.000 1.000 0.22
20120101 4 415 49.35 -122.77 0 -4.57 -3.59 1.000 1.000 0.17
20120101 5 415 49.35 -122.77 0 -3.24 -2.68 0.997 1.000 0.28
20120101 6 415 49.35 -122.77 0 -2.08 -0.92 0.824 1.000 0.12
20120101 7 415 49.35 -122.77 0 -1.41 1.16 0.132 1.000 0.01
20120101 8 415 49.35 -122.77 0 -0.38 1.92 0.034 1.000 0.01
20120101 9 415 49.35 -122.77 0 1.00 3.29 0.001 1.000 0.01
20120101 10 415 49.35 -122.77 0 1.12 4.28 0.000 1.000 0.00
20120101 11 415 49.35 -122.77 0 1.47 5.15 0.000 1.000 0.00
20120101 12 415 49.35 -122.77 0 1.53 5.07 0.000 1.000 0.00
20120101 13 415 49.35 -122.77 0 2.49 4.34 0.000 1.000 0.05
20120101 14 415 49.35 -122.77 0 1.10 3.50 0.000 1.000 0.01
20120101 15 415 49.35 -122.77 0 0.30 3.62 0.001 1.000 0.00
20120101 16 415 49.35 -122.77 0 -0.98 1.99 0.023 1.000 0.00
20120101 17 415 49.35 -122.77 0 -1.20 1.73 0.055 1.000 0.00
20120101 18 415 49.35 -122.77 0 -1.20 0.07 0.473 1.000 0.11
20120101 19 415 49.35 -122.77 0 -3.51 -1.87 0.970 1.000 0.05
20120101 20 415 49.35 -122.77 0 -4.30 -2.99 0.999 1.000 0.09
20120101 21 415 49.35 -122.77 0 -4.91 -4.60 1.000 1.000 0.38
20120101 22 415 49.35 -122.77 0 -5.18 -5.80 1.000 1.000 0.74
20120101 23 415 49.35 -122.77 0 -6.26 -5.81 1.000 1.000 0.32
20120101 24 415 49.35 -122.77 0 -2.73 -5.69 1.000 1.000 1.00
20120102 0 415 49.35 -122.77 0 -2.73 -2.92 0.996 1.000 0.57
20120102 1 415 49.35 -122.77 0 -3.13 -2.71 0.997 1.000 0.34
